NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
521;31/12/2018;5082681.39;0;0;167267.27;4230461.48;253460.23;0;20075.57;392246.92;19169.92
531;31/12/2018;6488362.5;0;0;54440.16;5917027.09;425067.75;91827.5;0;0;0
541;31/12/2018;33641901.78;0;0;68834;29985361.13;2930887.64;9461.81;647357.2;0;0
551;31/12/2018;7447230.71;0;0;254813.28;6195072.67;859319.23;0;132491.45;0;5534.08
561;31/12/2018;25516089.18;33200;0;31015.66;23414209.11;1260450.85;115200;465013.56;197000;0
571;31/12/2018;37253992.57;0;0;38385;35290700.73;1746286;0;178620.84;0;0
581;31/12/2018;6958769.19;0;0;-7319.32;6016486.81;293589.91;0;542034.45;113977.34;0
598;31/12/2018;106876642.88;0;0;186924.24;94370735.38;12306989.74;16000;0;-4006.48;0
608;31/12/2018;26974845.43;151694.21;0;228408.54;24164310.44;2363334.45;67097.79;0;0;0
611;31/12/2018;6120487.15;0;0;3023.32;6037019;80444.83;0;0;0;0
623;31/12/2018;40735972.05;0;0;32183;35774049.11;4712975.69;0;124652.67;92861.41;-749.83
631;31/12/2018;22649026.77;0;0;23392;21518222.05;924841.91;0;182570.81;0;0
643;31/12/2018;32873551.82;0;0;47575;30079552.57;2333822.85;9252.49;121384.53;271376.95;10587.43
651;31/12/2018;7447634.8;0;0;136033;5984857.78;609909;11943;489430.65;215461.37;0
661;31/12/2018;20546260.54;0;0;4400;19295755.1;653631;0;502301.04;77504.18;12669.22
671;31/12/2018;71814367.63;0;0;3535.6;65204654.21;6283591.7;0;322586.12;0;0
681;31/12/2018;42826967.43;0;0;2480;39599810.34;2784183.08;0;440494.01;0;0
698;31/12/2018;148432869.99;0;0;0;135002579.71;13313846.65;0;0;116443.63;0
701;31/12/2018;6992492.11;0;0;51108.51;6173308.07;686251.47;0;81824.06;0;0
711;31/12/2018;20162335.78;0;0;36520;16107160.95;3701773;0;261881.83;55000;0
721;31/12/2018;15653775.54;0;0;5008;12955308.35;1820837.48;0;757208.83;0;115412.88
731;31/12/2018;21722094.35;0;0;0;19157369.11;1825356.7;492608;246760.54;0;0
741;31/12/2018;44377008.49;0;0;89623.35;39841401.28;4312546;0;131383.22;1046.64;1008
751;31/12/2018;301862274.95;0;0;135000;280671181.96;21056092.99;0;0;0;0
768;31/12/2018;43927385.95;0;0;44418.2;41053152.18;2607297.49;222518.08;0;0;0
771;31/12/2018;71282297.55;0;0;2709196;61468276.28;7104825.27;0;0;0;0
781;31/12/2018;115166403.73;0;0;11210.01;106208584.65;8946609.07;0;0;0;0
791;31/12/2018;11041330.6;0;0;0;10302202.61;679359.94;0;59768.05;0;0
801;31/12/2018;20069064.37;0;0;705079.48;15906615.24;3025925.4;411535.22;19909.03;0;0
811;31/12/2018;20340691.13;0;0;0;19037385.03;993279;83287;226740.1;0;0
821;31/12/2018;10587720.34;0;0;0;9952900.7;173578.92;0;225106.59;233823.47;2310.66
831;31/12/2018;68873628.99;0;0;20994;61615534.29;4997159.69;0;1489130.89;691289.22;59520.9
841;31/12/2018;31868425.03;0;0;0;30265731.68;872198.65;0;321709.1;408785.6;0
851;31/12/2018;15605022.32;0;0;89675;13442832.1;1246190.72;72986.7;753337.8;0;0
861;31/12/2018;17545132.45;0;0;23803;16555466.51;689586.22;0;276276.72;0;0
871;31/12/2018;15234203.28;0;0;1600;14276950.63;858858.65;0;0;96794;0
881;31/12/2018;11392969.79;0;0;30000;10275744.83;834544.71;0;105915.39;141750;5014.86
891;31/12/2018;12562211.95;0;0;0;11801498.79;649813.16;0;0;110900;0
901;31/12/2018;5343273.08;0;0;0;5014117.71;238192.8;0;90962.57;0;0
911;31/12/2018;85091352.86;5250;0;0;76734350.56;6759718.9;0;1551695.34;0;40338.06
921;31/12/2018;171755650.97;0;0;348036.7;155441598.76;15511846.51;454169;0;0;0
931;31/12/2018;124684952.56;11400;0;1017263;110126398.83;11844446.37;1287066;327567.17;70811.19;0
941;31/12/2018;134629644.05;0;0;0;120866749.66;13762894.39;0;0;0;0
951;31/12/2018;80665418.51;0;0;-21469.88;74920427.25;4493745.41;0;1250885.83;21829.9;0
971;31/12/2018;14329849.33;16830.03;0;934874.01;12858527.68;528200.66;0;0;-8583.05;0
972;31/12/2018;22897718.96;0;0;40000;21487693.16;1164177.18;0;205848.62;0;
973;31/12/2018;23619959.8;0;0;0;15663370.16;7956589.64;0;0;0;0
974;31/12/2018;58902106.57;0;0;659170.76;45254014;11052750.92;0;1572360.75;250000;113810.14
976;31/12/2018;3949476.29;0;0;1878254;0;2071222.29;0;0;0;0
11;31/12/2017;27622429.26;18000;0;0;22027656.48;4778290.84;0;424409.42;365517.29;8555.23
28;31/12/2017;12658419.93;0;0;49796.41;7985697.5;4188274.31;0;383651.71;51000;0
31;31/12/2017;8069265.62;0;0;3125;7636669.01;429471.61;0;0;0;0
41;31/12/2017;10461627.14;0;0;33100;8417603.93;1861573;0;149350.21;0;0
51;31/12/2017;8457792.59;0;0;0;7040487.96;937304.63;480000;0;0;0
61;31/12/2017;75864563.08;132914.34;0;53480;69489324.61;5622874.17;258718;153449.54;129621.22;24181.2
78;31/12/2017;18109499.98;0;0;0;14007637.92;3579855.01;0;338007.05;36000;148000
81;31/12/2017;7423731.72;0;0;56092.5;6058265.43;1235373.14;0;0;74000.65;0
91;31/12/2017;8805428.45;0;0;8286.12;8515305.05;166842.5;0;68994.78;46000;0
101;31/12/2017;9293180.84;0;0;-37213.1;8166705.37;1056588.33;0;107100.24;0;0
111;31/12/2017;16366497.86;0;0;216460;14730878.8;1419159.06;0;0;0;0
121;31/12/2017;11407106.35;0;0;0;8708353.1;2303781.84;0;0;394971.41;0
131;31/12/2017;156164481.25;0;0;50477.27;133956706.73;22114673.25;29624;0;13000;0
141;31/12/2017;23492729.19;0;0;21900;17494914.98;3785278.43;0;1039698.21;1100138.49;50799.08
151;31/12/2017;3562704.17;0;0;36212.83;2481779.9;1040656.44;0;0;4055;0
161;31/12/2017;12501976.3;0;0;-1659.3;10909230.13;1594405.47;0;0;0;0
171;31/12/2017;21529444.1;0;0;1450;18146059.19;3371743.83;0;0;10191.08;0
181;31/12/2017;9238658.35;0;0;27572;8108640.04;1022706.42;0;0;79739.89;0
191;31/12/2017;8533516.84;0;0;0;7985787.88;516577.76;0;0;31151.2;0
201;31/12/2017;9203631.03;0;0;3355;7002994.17;1250908.05;0;527285.91;390982.83;28105.07
202;31/12/2017;7639861.05;0;0;47398;6201155.87;775306.14;0;158727.46;437771.58;19502
211;31/12/2017;26959616.36;0;0;36253.4;23606511.17;2311697.86;17593.5;707380.95;280179.48;0
221;31/12/2017;17423211.05;11675.59;0;0;16048305.8;1265157.87;13071.79;0;85000;0
231;31/12/2017;2785035.29;0;0;2000;2754317.29;28718;0;0;0;0
241;31/12/2017;12140587.48;0;0;23998;10434460.38;1408910.58;0;273218.52;0;0
253;31/12/2017;22504862.59;0;0;17650;18672318.96;2851890.66;58124.77;776857.18;121416.65;6604.37
261;31/12/2017;26436494.05;0;0;18380;20892882.59;4068712.95;0;852367.6;604150.91;0
271;31/12/2017;18610644.59;0;0;1500;16881870.45;1727274.14;0;0;0;0
281;31/12/2017;13048944.96;0;0;10903.26;12214661.85;619280.21;0;190838.99;0;13260.65
293;31/12/2017;34199595.22;0;0;0;30648757.84;2720472.91;20000;674700.45;135664.02;0
301;31/12/2017;46199663.87;0;0;960955.4;38362667.57;5076018.98;29421.78;1261020.02;477322.92;32257.2
311;31/12/2017;115176650.79;0;0;0;100851632.51;13073230.27;0;395526.16;856261.85;0
321;31/12/2017;7305824.77;0;0;0;6981986.94;303275.07;0;20562.76;0;0
331;31/12/2017;97267356.96;0;0;19000;85408851.98;10841683.16;42790.68;825031.14;130000;0
348;31/12/2017;66591955.57;0;0;6000;60085922.46;5661564.38;22387.22;535507.72;224195.6;56378.19
351;31/12/2017;45677448.94;0;0;18893.07;37348916.23;6229103.77;0;1872077.49;189670.19;18788.19
361;31/12/2017;7077928.43;0;0;176;4701359.39;1168355.69;0;520479.3;532520.01;155038.04
371;31/12/2017;28339664.43;0;0;0;23379194.31;4356509.39;88639.67;300881.06;168900;45540
388;31/12/2017;70973878.59;0;0;141551.38;61648250.61;6855623.82;50000;1815668.72;272944.72;189839.34
391;31/12/2017;9429312.39;0;0;0;7458334.54;1777960.67;0;63017.18;130000;0
401;31/12/2017;13073756.41;0;0;0;10217666.03;2040803.16;144477.95;630696.26;0;40113.01
411;31/12/2017;7428033.53;0;0;6074.8;6505819.39;553347;0;284292.34;78500;0
428;31/12/2017;37747669.19;0;0;0;33254102.87;3621811.56;0;224591.15;560674.9;86488.71
431;31/12/2017;9904498.76;0;0;5026.51;9468152;431320.25;0;0;0;0
441;31/12/2017;81841274.67;0;0;1562892.36;60633200.18;16853767.71;0;2440790.07;334430.24;16194.11
451;31/12/2017;26086097.1;0;0;0;22428823.14;1630441.68;0;991137.47;555863.74;479831.07
461;31/12/2017;7764159.5;0;0;0;5659100.45;1006856.58;0;0;650087.44;448115.03
471;31/12/2017;14955394.73;0;0;2950.07;13159619.8;1564634.77;45782;111879.91;70528.18;0
481;31/12/2017;2905711.6;0;0;6459.72;2687397.4;173781;0;38073.48;0;0
493;31/12/2017;34239028.85;221264.13;0;425738;30856058.52;1887298.01;0;848670.19;0;0
501;31/12/2017;15649979.58;0;0;-3250;11914410.27;2539741.08;0;701108.37;456841.25;41128.61
511;31/12/2017;23939654.87;0;0;0;20136249.22;3194695.6;0;409083.31;181952.16;17674.58
521;31/12/2017;5292250.95;0;0;157032.07;4045772.81;619754.53;0;76674.12;392217.42;800
531;31/12/2017;6755294.05;0;0;77748.16;5756169.6;914186.29;7190;0;0;0
541;31/12/2017;33085216.02;0;0;3000;29968368.73;2480441.23;11979.66;621426.4;0;0
551;31/12/2017;7332421.29;0;0;245398.93;5843663.51;1100807.78;0;130358.71;0;12192.36
561;31/12/2017;25524938;19900;0;200226.04;23111475.29;1461380.35;0;537956.32;194000;0
571;31/12/2017;39444860.71;0;0;48385;35002011.49;4017292;0;358172.22;19000;0
581;31/12/2017;7396116.22;0;0;5576.69;5518036.62;1234241.38;0;519731.3;117500.23;1030
598;31/12/2017;107221310.91;0;0;214921.87;91865851.9;14694243.41;139173.71;0;307120.02;0
608;31/12/2017;26289876.98;143660.73;0;219361.95;23295226.25;2626028.56;5599.49;0;0;0
611;31/12/2017;7406107.99;0;0;4976.68;5848033.32;1553010.55;0;87.44;0;0
623;31/12/2017;43611708.64;0;0;112183.53;34912509.98;8324153.92;0;169104.06;61463.6;32293.55
631;31/12/2017;23883098.25;0;0;18852.8;21528376.93;2154954.02;0;180914.5;0;0
643;31/12/2017;33793250.05;0;0;114728;30231685.04;2637245.71;53037.23;133708.48;616964.4;5881.19
651;31/12/2017;7005102.84;0;0;-3030.29;5554860.49;424309.69;0;576149.89;452813.06;0
661;31/12/2017;21909250.23;0;0;61222.29;19465468.83;1796839.9;0;507201.61;77551.72;965.88
671;31/12/2017;73812853.86;0;0;20542;64084185.89;9272916.64;0;380209.33;55000;0
