OBJECTID,code_voie,metre,t_inf140,t_inf120,t_inf90,t_inf120sm,t_p5,t_p8,t_p12,t_dev2,t_sol,t_cont_rc,t_contv_ch,t_abstrot,numphoto,observatio,commune,chiffrage,fk_objet,created_user,created_date,last_edited_user,last_edited_date,rue,url_photo_avant,url_photo_apres,clc_taux_courant,clc_taux_initial,tmp_somme_taux,CreationDate,Creator,EditDate,Editor,GlobalID,SHAPE_Length
54,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1400211,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400211.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{1D66582F-528E-4306-8FC2-BBBE3AA7F0FD},62.9251203360477
55,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400217,Aucune observation,SAINT-QUENTIN,1900,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400217.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{38E01D31-9ECF-4EC7-AE4C-6764388822E2},78.3526488313099
56,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400216,Aucune observation,SAINT-QUENTIN,1900,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400216.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{97AEEE82-793A-4AF0-B34F-B342E6F6C09B},153.640949123598
57,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400220,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400220.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{7AA99B59-0850-4A9C-8A48-2079377DF951},91.937529397872
58,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400223,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400223.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{7F1BA3F7-611D-40E7-BDE5-1953BBF39094},51.2604783356716
59,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400226,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400226.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{E888EA4D-A572-437B-8F83-BE2D8B525562},94.8310950850164
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nophoto,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,nophoto.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{7E7EFA4C-8FEF-493E-B21B-E789021BE45D},48.3785331529585
61,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400230,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400230.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{1DEC8C66-DB5D-4D1D-82B4-C4921C8E9634},113.535431106119
62,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1400237,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400237.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{5B21AD44-D19C-4F8D-AC20-8B207A0B5CF4},134.509664778166
63,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1400241,Aucune observation,SAINT-QUENTIN,700,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400241.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{23B996F8-9F2E-4E56-87F8-1A4981A0C43C},53.4215234645201
64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1400243,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400243.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{5F70DBF9-2184-4B7D-8383-697E59EF03A2},58.2946620133961
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400250,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400250.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{16F1ED96-72CF-43BD-8983-92178D58E0BC},76.9367177971346
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400300,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400300.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{308B9DA3-CC43-4375-94F9-E04393FBECFA},80.8656297206488
67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1400256,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400256.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{DBAFEA13-D0B8-47B4-AEB3-15FB308E64E9},20.5602907047504
