X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.4028828080001,-20.910836611,268,1,Chemin Père Rimbault arrêt Jasmin,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4012999970001,-20.910088677,269,1,Chemin Père Rimbault église St Bernard,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.40054723,-20.910481886,270,1,Chemin Père Rimbault école maternelle St Bernard,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.40032015,-20.910301627,271,1,"Chemin Père Rimbault arrêt église St Bernard ,Kios",La Montagne,HS,CINOR,26/08/2019,04/09/01
55.3998375950001,-20.909754398,272,1,Chemin Père Rimbault école élémentaire St Bernard,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.3996463450001,-20.908933755,273,1,Chemin Père Rimbault arrêt Mairie St Bernard,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.3996892550001,-20.908386842,274,1,Chemin Père Rimbault Mairie St Bernard,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.400952911,-20.908587558,275,1,Chemin Père Rimbault arrêt Père Rimbault,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.400726132,-20.9077535759999,276,1,Chemin Père Rimbault entré office Tourisme,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.398243892,-20.902982612,277,1,Chemin Père Rimbault devant boutique,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.3981373350001,-20.9031227099999,278,1,Chemin Père Rimbault arrêt Grande Chaloupe,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.3971160410001,-20.901314371,279,1,Chemin Dépèche arrêt du Stade,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.396385197,-20.9007336399999,280,1,Chemin Dépèche entré stade,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4038059900001,-20.896554575,281,1,Chemin des Cerisier arrêt petit ?,La Montagne,Taggé,CINOR,26/08/2019,04/09/01
55.4062882690001,-20.901312097,282,1,Chemin du stade de St Bernard arrêt des Bambous,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4059393650001,-20.9033732739999,283,1,Chemin des Furcréas arrêt Grande Ravine,La Montagne,Taggé,CINOR,26/08/2019,04/09/01
55.410876714,-20.895997365,284,1,Chemin des Furcréas école maternelle Ruis. Blanc,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.412169196,-20.8951039849999,285,1,Chemin des Furcréas arrêt Ruisseau Blanc,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4120201100001,-20.895030606,286,1,Chemin des Furcréas supermarché Ruisseau Blanc,La Montagne,RAS,CINOR,26/08/2019,04/09/01
