oid,code,libelle,surf_m2
103200,2111,Terres arables,3792
155125,2310,Prairies,7443
105004,2111,Terres arables,38243
105933,2111,Terres arables,11879
106274,2111,Terres arables,69402
155509,2310,Prairies,2529667
155700,2310,Prairies,2042
106742,2111,Terres arables,4067
155773,2310,Prairies,5366
155866,2310,Prairies,1359430
107755,2111,Terres arables,13819
107756,2111,Terres arables,3989
111646,2112,"Pépinières, maraichages et serres",2229
156189,2310,Prairies,20501
156212,2310,Prairies,3588909
156263,2310,Prairies,6593
156422,2310,Prairies,5456228
156490,2310,Prairies,7217
156577,2310,Prairies,1542514
111975,2112,"Pépinières, maraichages et serres",4291
156948,2310,Prairies,2368
111976,2112,"Pépinières, maraichages et serres",6702
113955,2220,Autres vergers et petits fruits,5932
113956,2220,Autres vergers et petits fruits,11388
116116,2310,Prairies,6804
118973,2310,Prairies,6230
157881,2310,Prairies,6242
124665,2310,Prairies,13027
158104,2310,Prairies,5752
125654,2310,Prairies,9554
158220,2310,Prairies,11647
126834,2310,Prairies,7023
132604,2310,Prairies,10716
132605,2310,Prairies,6848
158578,2310,Prairies,8732
158709,2310,Prairies,5499
101772,2111,Terres arables,7088
159013,2310,Prairies,6451
103201,2111,Terres arables,11291
103222,2111,Terres arables,3320
103223,2111,Terres arables,7865
159242,2310,Prairies,4170
159259,2310,Prairies,1917
159396,2310,Prairies,1723
159546,2310,Prairies,2764
159582,2310,Prairies,1506135
104108,2111,Terres arables,10713
132958,2310,Prairies,12791
133136,2310,Prairies,5405
104347,2111,Terres arables,2509
159741,2310,Prairies,3775
133912,2310,Prairies,6805
134242,2310,Prairies,9864
160107,2310,Prairies,527
135084,2310,Prairies,1870
160309,2310,Prairies,3757
105005,2111,Terres arables,8750
105006,2111,Terres arables,4670
105010,2111,Terres arables,3553
135536,2310,Prairies,12831
105939,2111,Terres arables,8511
107916,2111,Terres arables,4615
108162,2111,Terres arables,3303
160934,2310,Prairies,17578
97494,2111,Terres arables,10782
135977,2310,Prairies,8611
137398,2310,Prairies,11405
108200,2111,Terres arables,6429
161261,2310,Prairies,1368631
137399,2310,Prairies,9073
97458,2111,Terres arables,4350
161633,2420,Systèmes culturaux et parcellaires complexes,5619
97459,2111,Terres arables,51093
97460,2111,Terres arables,544384
97461,2111,Terres arables,132156
97462,2111,Terres arables,27747
97463,2111,Terres arables,33378
97464,2111,Terres arables,149156
97465,2111,Terres arables,3128
97466,2111,Terres arables,19210
97477,2111,Terres arables,143763
97478,2111,Terres arables,22730
97479,2111,Terres arables,1396431
97467,2111,Terres arables,924778
97468,2111,Terres arables,37267
97469,2111,Terres arables,7347
97470,2111,Terres arables,59562
97471,2111,Terres arables,4868
97472,2111,Terres arables,9893
