id_obst,id_cer,nom_obst,type_obst,lib_obst
FR32OP179,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP180,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP181,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP182,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP183,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP184,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP185,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP186,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP187,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP188,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP189,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP190,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP191,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP192,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP193,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP194,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP195,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP196,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP197,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP198,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP199,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP200,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP201,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP202,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP203,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP204,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP205,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP206,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP207,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP208,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP209,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP210,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP211,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP212,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP213,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP214,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP215,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP216,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP217,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP218,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP219,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP220,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP221,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP222,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP223,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP224,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP225,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP226,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP227,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP228,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP229,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP230,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP231,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP232,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP233,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP234,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP235,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP236,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP237,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP238,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP239,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP240,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP241,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP242,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP243,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP244,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP245,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP246,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP247,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP248,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP249,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP250,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP251,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP252,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP253,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP254,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP255,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP256,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP257,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP258,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP259,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP260,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP261,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP262,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP263,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP264,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP265,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP266,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP267,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP268,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP269,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP270,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP271,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP272,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP273,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP274,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP275,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP276,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP277,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
