Maisons des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;15H00;16H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC NICE ASSOCIATION REPUBLICAINE ANCIENS COMBATTANTS ET VICTIMES DE GUERRE NICE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AFFAA - ANCIENS DES FORCES FRANCAISES EN ALLEMAGNE ET EN AUTRICHE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UMCA - UNION MEDITERRANEENNE DES COMBATTANTS DE L'AIR ET ANCIENS DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG UD06 - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - UNION DEPARTEMENTALE 06 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;22/11/2018;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNOR CA - UNION DES OFFICIERS DE RESERVE DE LA COTE D'AZUR 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;14H00;18H00;AFFAIRES MILITAIRES;REUNION;AMICALE NAT. DU 22EME BCA ET DES TROUPES DE MONTAGNE SIDI-BRAHIM DE CANNES, NICE, VILLEFRANCHE/MER
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
