OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
49,BANC,BN48,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",b45b63b1-d167-40c6-895f-3bcbbe1e0509
50,BANC,BN49,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",dd1d0438-a925-4a7f-a12b-9abd6968eb73
51,BANC,BN50,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",568b793f-23ea-4266-98bc-f74fd58f71c0
52,BANC,BN51,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",061055b4-cb7f-4368-bce8-1e43946c080a
53,BANC,BN42,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",77e4d1dc-7c46-497c-acd5-01ea3758e18b
54,BANC,BN41,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",643858f0-3b9f-4d03-9f3a-0423e32576cc
55,BANC,BN40,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",0a90538f-d302-45e7-b603-414667579d7f
56,BANC,BN39,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",0ceac5df-8b42-4690-b980-4a782ccb2628
57,BANC,BN37,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",f9c2175f-3c5e-4124-a126-21bf44b08072
58,BANC,BN31,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",ea3eb669-0842-420b-82f5-6d1dd1a25faf
59,BANC,BN29,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",9c31b3f3-9a0a-4f62-9f43-ef805acea97b
60,BANC,BN28,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",b402cec8-c08e-4497-91a9-2ea0522d43b3
61,BANC,BN27,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",ae216cce-15be-4baa-a611-1ffcf2f4d183
62,BANC,BN26,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",f3a95d85-de5d-4c8e-940d-451c23089fa1
63,BANC,BN25,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",7cfd5499-b011-4834-9108-aff0544a28bf
