SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
annuaire.agricoll.agriculture.ader.gouv.fr;;2020;Décembre;01 Dec 2020 - 08:22;31 Dec 2020 - 08:31;5;97;19,40;1316;13,57;8992;92,70;40,30;425,39
annuaire.agricoll.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:57;31 Dec 2020 - 19:04;2163;5463;2,53;113761;20,82;540436;98,93;2421,96;453,98
annuaire.agricoll.national.agri;;2020;Décembre;01 Dec 2020 - 07:06;31 Dec 2020 - 19:53;464;1102;2,38;20264;18,39;75671;68,67;333,41;309,81
appli.agriculture;;2020;Décembre;01 Dec 2020 - 09:03;31 Dec 2020 - 14:15;2;76;38,00;1366;17,97;9820;129,21;482,64;6502,88
appli.agriculture.ader.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:01;31 Dec 2020 - 23:59;34;2838;83,47;444734;156,71;1828425;644,27;69920,46;25228,52
appli.agriculture_ideoproject;ideoproject;2020;Décembre;NA;NA;0;0;0,00;0;0,00;15;0,00;0,01;0,00
appli.agriculture_nuxeo;nuxeo;2020;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
assistance.bmsq.auzeville.agri;;2020;Décembre;01 Dec 2020 - 07:52;31 Dec 2020 - 18:20;157;291;1,85;52695;181,08;238418;819,31;2883,32;10146,11
assistance.rh.national.agri;;2020;Décembre;01 Dec 2020 - 08:13;31 Dec 2020 - 16:34;131;203;1,55;34989;172,36;214562;1056,96;1574,67;7943,18
auth.agricoll.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 01:03;31 Dec 2020 - 17:58;661;1546;2,34;12986;8,40;46248;29,91;198,07;131,20
cdp.national.agri;;2020;Décembre;01 Dec 2020 - 00:07;31 Dec 2020 - 23:59;875;3349;3,83;3683951;1100,02;3876764;1157,59;55465,78;16959,38
cdp.national.agri_gedcdp;gedcdp;2020;Décembre;01 Dec 2020 - 13:50;30 Dec 2020 - 13:33;59;87;1,47;2422;27,84;9277;106,63;76,22;897,14
cdp.national.agri_rundeck-zsg;rundeck-zsg;2020;Décembre;01 Dec 2020 - 08:42;31 Dec 2020 - 11:48;66;157;2,38;39005;248,44;55599;354,13;148,44;968,18
cdp.national.agri_rundeck-zsi;rundeck-zsi;2020;Décembre;01 Dec 2020 - 11:11;30 Dec 2020 - 13:56;52;86;1,65;6273;72,94;11018;128,12;38,26;455,55
ci.forge.agriculture;;2020;Décembre;NA;31 Dec 2020 - 08:53;2;2;1,00;187;93,50;281;140,50;0,42;214,50
conf.proxy.national.agri;;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 23:59;11026;286833;26,01;3707496;12,93;3707496;12,93;27579,70;98,46
data.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 20:00;1492;5392;3,61;1398397;259,35;2580604;478,60;20383,75;3871,10
data.agriculture.gouv.fr_bobi;bobi;2020;Décembre;01 Dec 2020 - 10:38;31 Dec 2020 - 10:56;37;110;2,97;267;2,43;1033;9,39;6,70;62,35
e-phy.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:09;31 Dec 2020 - 23:59;7340;9628;1,31;30912;3,21;97845;10,16;208,89;22,22
eau.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:04;31 Dec 2020 - 23:26;7642;15130;1,98;5487206;362,67;7532985;497,88;125015,21;8461,04
eau.agriculture.gouv.fr_cascade;cascade;2020;Décembre;01 Dec 2020 - 05:01;31 Dec 2020 - 21:08;197;458;2,32;2139236;4670,82;2279073;4976,14;8278,81;18509,82
eau.agriculture.gouv.fr_domineau;domineau;2020;Décembre;03 Dec 2020 - 08:55;21 Dec 2020 - 15:10;3;6;2,00;15;2,50;467;77,83;1,93;330,17
eau.agriculture.gouv.fr_lanceleau;lanceleau;2020;Décembre;01 Dec 2020 - 00:04;31 Dec 2020 - 22:59;2491;6866;2,76;172347;25,10;1085587;158,11;6673,95;995,36
eau.agriculture.gouv.fr_licorne;licorne;2020;Décembre;01 Dec 2020 - 07:59;31 Dec 2020 - 20:08;118;222;1,88;764936;3445,66;867946;3909,67;3361,33;15504,50
eau.agriculture.gouv.fr_oasis;oasis;2020;Décembre;01 Dec 2020 - 08:34;31 Dec 2020 - 13:38;28;158;5,64;561019;3550,75;592569;3750,44;8961,09;58076,95
eau.agriculture.gouv.fr_propluviaprive;propluviaprive;2020;Décembre;01 Dec 2020 - 13:19;31 Dec 2020 - 10:10;8;26;3,25;798;30,69;2983;114,73;34,12;1343,96
eau.agriculture.gouv.fr_roseau;roseau;2020;Décembre;01 Dec 2020 - 03:50;31 Dec 2020 - 21:08;219;640;2,92;1078703;1685,47;1165547;1821,17;2676,24;4281,99
eau.agriculture.gouv.fr_sillage;sillage;2020;Décembre;01 Dec 2020 - 11:37;30 Dec 2020 - 16:57;33;102;3,09;8523;83,56;18463;181,01;840,97;8442,64
eau.agriculture.gouv.fr_telesillage;telesillage;2020;Décembre;01 Dec 2020 - 07:25;31 Dec 2020 - 23:04;3468;5290;1,53;198037;37,44;529312;100,06;40843,60;7906,21
eau.agriculture.gouv.fr_telesillageprive;telesillageprive;2020;Décembre;01 Dec 2020 - 06:24;31 Dec 2020 - 23:04;1556;5103;3,28;320317;62,77;557375;109,22;48267,76;9685,71
eau.agriculture.gouv.fr_verseau;verseau;2020;Décembre;01 Dec 2020 - 00:09;31 Dec 2020 - 22:53;718;1748;2,43;45268;25,90;223769;128,01;1619,87;948,94
ecoagri.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:07;31 Dec 2020 - 19:10;722;1270;1,76;429191;337,95;483929;381,05;1850,05;1491,70
ecoagri.agriculture.gouv.fr_calamnat-usager;calamnat-usager;2020;Décembre;01 Dec 2020 - 23:00;30 Dec 2020 - 19:48;71;80;1,13;327;4,09;7544;94,30;16,76;214,46
ecoagri.agriculture.gouv.fr_logics-usager;logics-usager;2020;Décembre;01 Dec 2020 - 00:07;31 Dec 2020 - 19:10;610;985;1,61;389552;395,48;412338;418,62;1058,89;1100,82
ecoagri.agriculture.gouv.fr_telecalam-usager;telecalam-usager;2020;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
ecoagri.national.agri;;2020;Décembre;01 Dec 2020 - 07:17;31 Dec 2020 - 16:40;104;367;3,53;180915;492,96;283342;772,05;4106,09;11456,78
ecoagri.national.agri_calamnat-agent;calamnat-agent;2020;Décembre;01 Dec 2020 - 07:17;31 Dec 2020 - 16:40;55;290;5,27;49920;172,14;128319;442,48;2024,44;7148,37
ecoagri.national.agri_calamnat-reprise-agent;calamnat-reprise-agent;2020;Décembre;03 Dec 2020 - 11:31;14 Dec 2020 - 15:18;1;3;3,00;112;37,33;681;227,00;3,14;1071,00
ecoagri.national.agri_calamnat-suivi;calamnat-suivi;2020;Décembre;NA;23 Dec 2020 - 11:14;2;15;7,50;154;10,27;1639;109,27;11,74;801,67
ecoagri.national.agri_calamnat-webmin;calamnat-webmin;2020;Décembre;02 Dec 2020 - 13:27;22 Dec 2020 - 12:09;9;14;1,56;408;29,14;4472;319,43;16,23;1186,86
