nom;adresse;CP;commune;"commune (COG)";département;région;"région (COG)";"longitude (X)";"latitude (Y)";"handicap principal";"lien site onisep.fr"
"Groupe national des établissements et services publics sociaux et médico-sociaux";"64 rue du dessous des berges";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3736897;48.827892;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.838
"Le livre de l'aveugle";"124 boulevard Camelinat";92240;Malakoff;92046;"92 - Hauts-de-Seine";Ile-de-France;11;2.297345;48.8139633;"Handicap visuel";www.onisep.fr/http/redirection/organisme_information/slug/INFO.716
"Union française des centres de vacances et de loisirs";"10 quai de la charente";75019;Paris;75100;"75 - Paris";Ile-de-France;11;2.3834284;48.8974538;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1644
"Union nationale des associations de parents et amis de personnes handicapées mentales";"15 rue Coysevox";75876;Paris;75100;"75 - Paris";Ile-de-France;11;2.3510000705719;48.891700744629;"Handicap mental";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1886
"Association française contre les myopathies";"1 rue de l'Internationale - BP 59";91002;Evry-Courcouronnes;91228;"91 - Essonne";Ile-de-France;11;2.4307301044464;48.622741699219;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2583
"Handicap international";"138 avenue des Frères Lumière - CS 78378";69371;Lyon;69380;"69 - Rhône";Auvergne-Rhône-Alpes;84;4.8648029;45.745519;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1641
"Association Apaches";"33 boulevard du port";95011;Cergy;95127;"95 - Val-d'Oise";Ile-de-France;11;2.0697727;49.0313689;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.3380
"Association des brûlés de France";"46 quai de la Loire";75019;Paris;75100;"75 - Paris";Ile-de-France;11;2.3910999298096;48.882598876953;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2206
"Association Epilepsie-France";"13 rue Frémicourt";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.2971427;48.8473539;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1179
"Association L'enfant@l'hopital";"86 rue Cambronne";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.3027543;48.8423633;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1642
"Association nationale des parents d'enfants aveugles";"87 rue du Molinel";59700;Marcq-en-Baroeul;59378;"59 - Nord";Hauts-de-France;32;3.11316825;50.68546555;"Handicap visuel";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1298
"Association nationale pour l'intégration des handicapés moteur";"9 rue Louis et René Moine ";35200;Rennes;35238;"35 - Ille-et-Vilaine";Bretagne;53;-1.6814383;48.0934282;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1287
"Autistes sans frontières, coordination nationale";"149 avenue du Maine";75014;Paris;75100;"75 - Paris";Ile-de-France;11;2.324689;48.833841;"Autisme et troubles envahissants du développement";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2652
"Confédération française pour la promotion sociale des aveugles et des amblyopes";"6 rue Gager Gabillot";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.3065783;48.8378394;"Handicap visuel";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1884
