code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,CAUDROT ,CENTRE SOCIO-CULTUREL 1, Caudrot,,,44.5771,-0.146094
33,,LE PIAN-SUR-GARONNE,FOYER RURAL 1,,,,45.1086,-0.586162
33,,SAINT-ANDRE-DU-BOIS,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINTE-FOY-LA-LONGUE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-GERMAIN-DE-GRAVE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-LAURENT-DU-BOIS,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-LAURENT-DU-PLAN,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-MACAIRE,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINT-MAIXANT,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINT-MARTIAL,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-MARTIN-DE-SESCAS,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-PIERRE-D'AURILLAC,MAIRIE 1,,,,44.5345,-0.343195
33,,SEMENS ,MAIRIE 1,,,,44.5345,-0.343195
33,,VERDELAIS,ECOLE 1, Verdelais,,,44.5882,-0.249332
33,,BALIZAC,SALLE DE LA MAIRIE 1, Balizac,,,44.4866,-0.443819
33,,HOSTENS,MAIRIE - SALLE DU CONSEIL 1, Hostens,,,44.4928,-0.639616
33,,LOUCHATS,FOYER POLYVALENTE 1, Louchats,,,44.5123,-0.567023
33,,ORIGNE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-LEGER-DE-BALSON,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-SYMPHORIEN,SALLE COMMUNALE 1,,,,,
33,,SAINT-SYMPHORIEN,SALLE COMMUNALE 2,,,,44.6348,-0.33672
33,,LE TUZAN,MAIRIE 1,,,,44.5345,-0.343195
33,,BLASIMON,MAIRIE 1,,,,44.5345,-0.343195
33,,CASTELVIEL,MAIRIE 1,,,,44.5345,-0.343195
33,,CLEYRAC,MAIRIE 1,,,,44.5345,-0.343195
33,,COIRAC,MAIRIE 1,,,,44.5345,-0.343195
33,,DAUBEZE,MAIRIE 1,,,,44.5345,-0.343195
