REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA00083398,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Victor-Hugo (cours) 3,propriété d'une personne privée,,La façade et la toiture (cad. R 218) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083397,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Victor-Hugo (cours) 2,propriété d'une personne privée,,La façade et la toiture (cad. S 67) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083396,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Victor-Hugo (cours) 1,propriété d'une personne privée,,La façade et la toiture (cad. R 219) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083395,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Tourny (allée de) 62 , Condillac (rue) 77,propriété d'une personne privée,,Les façades sur rue et les toitures correspondantes (cad. G 223bis) : inscription par arrêté du 8 octobre 1965,1965/10/08 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083394,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Tourny (allée de) 60 , Condillac (rue) 36,propriété d'une personne privée,,Les façades et les toitures (cad. G 170) : inscription par arrêté du 9 septembre 1965,1965/09/09 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083393,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Tourny (allée de) 58,propriété d'une personne privée,,La façade et la toiture sur rue (cad. G 171) : inscription par arrêté du 25 février 1974,1974/02/25 : inscrit MH,,18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA00083392,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Tourny (allée de) 37 , Tournon (cours) 14,propriété d'une personne privée , propriété d'une société privée,,"Les façades et les toitures (cad. G 2, 362) : inscription par arrêté du 9 septembre 1965",1965/09/09 : inscrit MH,Combes (maître de l'oeuvre),4e quart 18e siècle , 19e siècle,,,,,,,,,,,,,,,,
PA00083391,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Tourny (place) 1,propriété d'une personne privée,,Les façades et les toitures (cad. G 1) : inscription par arrêté du 19 octobre 1965,1965/10/19 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083390,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 22 , Faures (rue des),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue des Faures (cad. S 25) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083389,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 21,propriété d'une personne privée,,La façade et la toiture (cad. S 24) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083388,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 20,propriété d'une personne privée,,La façade et la toiture (cad. S 23) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083387,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 19,propriété d'une personne privée,,La façade et la toiture (cad. S 22) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083386,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 18,propriété d'une personne privée,,La façade et la toiture (cad. S 21 , DO 0142) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083385,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 17,propriété d'une personne privée,,La façade et la toiture (cad. S 20 , DO 0141) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083384,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 16,propriété d'une personne privée,,La façade et la toiture (cad. S 19 , DO 0125) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083383,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 15,propriété d'une personne privée,,La façade et la toiture (cad. S 18 , DO 0125) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083382,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 14 , Tour-du-Pin (rue de la),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue de la Tour-du-Pin (cad. S 17 ", DO 0125) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083381,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 13 , Tour-du-Pin (rue de la),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue de la Tour-du-Pin (cad. S 16 ", DO 0124) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083380,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 12,propriété d'une personne privée,,La façade et la toiture (cad. S 15) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083379,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 11,propriété d'une personne privée,,La façade et la toiture (cad. S 14) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083378,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 10,propriété d'une personne privée,,La façade et la toiture (cad. S 13) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083377,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 9,propriété d'une personne privée,,La façade et la toiture (cad. S 12 , DO 0120) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083376,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 8,propriété d'une personne privée,,La façade et la toiture (cad. S 11 , DO 0119) : inscription par arrêté du 14 avril 1954,1954/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083375,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 7 , Maubec (rue),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue Maubec (cad. S 10 ", DO 0118) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083374,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 6 , Maubec (rue),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue Maubec (cad. S 9) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083373,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 5,propriété d'une personne privée,,La façade et la toiture (cad. S 8) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083372,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 4,propriété d'une personne privée,,La façade et la toiture (cad. S 7) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083371,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 3,propriété d'une personne privée,,La façade et la toiture (cad. S 6) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083370,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 2,propriété d'une personne privée,,La façade et la toiture (cad. S 5) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083369,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 1bis,,,La façade et la toiture (cad. S 4) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083368,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Salinières (quai des) 1,propriété d'une personne privée,,La façade et la toiture (cad. S 4p) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083367,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,"Rolland (rue) 2, 4 "," Georges-Clemenceau (cours) 21, 23",propriété d'une société privée,,"Façade sur la rue Rolland et toiture correspondante (cad. K 286, 287) : inscription par arrêté du 8 septembre 1965. Façade et toiture correspondante du cours Georges "," Clemenceau, ainsi que la cage d'escalier située 4 rue Rolland (cad. 200, 242) : inscription par arrêté du 24 juillet 1995",1965/09/08 : inscrit MH , 1995/07/24 : inscrit MH,,4e quart 18e siècle,,,,,,,,,,,,,,,,
PA00083366,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 61 , Bir-Hakeim (place),propriété d'une personne privée,,"La façade et la toiture, avec le retour sur la place Bir-Akeim (cad. R 228, 227) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083365,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 60,propriété d'une personne privée,,La façade et la toiture (cad. R 229) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083364,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 59,propriété d'une personne privée,,La façade et la toiture (cad. R 230 , HE 0071) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083363,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 58,propriété d'une personne privée,,La façade et la toiture (cad. R 231 , HE 0070) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083362,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 57,propriété d'une personne privée,,La façade et la toiture (cad. R 232 , HE 0069) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083361,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 56,propriété d'une société privée,,La façade et la toiture (cad. HE 66) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083360,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 55,propriété d'une personne privée,,La façade et la toiture (cad. R 234 , HE 0065) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083359,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 54,propriété d'une personne privée,,La façade et la toiture (cad. R 235 , HE0064) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083358,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 53,propriété d'une personne privée,,La façade et la toiture (cad. R 236 , HE 236) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083357,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 52,propriété d'une personne privée,,La façade et la toiture (cad. R 236bis) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083356,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 51,propriété d'une personne privée,,La façade et la toiture (cad. R 237p) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083355,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 50,propriété d'une personne privée,,La façade et la toiture (cad. R 237p) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083354,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 49,propriété d'une personne privée,,La façade et la toiture (cad. R 238) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083353,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 48,propriété d'une personne privée,,La façade et la toiture (cad. R 241) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083352,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 47 , Portalets (rue des),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue des Portalets (cad. R 240) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083351,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 46 , Portalets (rue des),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue des Portalets (cad. R 279) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083350,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 45,propriété d'une personne privée,,La façade et la toiture (cad. R 280) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083349,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 44,propriété d'une personne privée,,La façade et la toiture (cad. R 281) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083348,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 43,propriété d'une personne privée,,La façade et la toiture (cad. R 282) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083347,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 42,propriété d'une personne privée,,La façade et la toiture (cad. R 283 , HE 005) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083346,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 41,propriété d'une personne privée,,La façade et la toiture (cad. R 284 , HE 0004) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083345,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 40,propriété d'une personne privée,,La façade et la toiture (cad. R 285 , HE 0003) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083344,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 39,propriété d'une personne privée,,La façade et la toiture (cad. R 286 , HE 0002) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083343,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 38 , Alsace (cours d'),propriété d'une personne privée,,"La façade et la toiture, avec retour sur le cours d'Alsace (cad. R 288, 287 ", KL 0234) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083342,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 37 , Alsace (cours d'),propriété d'une personne privée,,"La façade et la toiture, avec retour sur le cours d'Alsace (cad. R 293) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083341,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 36,propriété d'une personne privée,,La façade et la toiture (cad. R 294) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083340,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 35 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. R 295) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083339,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 34 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. R 572) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083338,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 33,propriété d'une personne privée,,La façade et la toiture (cad. R 571) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083337,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 32,propriété d'une personne privée,,La façade et la toiture (cad. R 570) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083336,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 31,propriété d'une personne privée,,La façade et la toiture (cad. R 569) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083335,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 30,propriété d'une personne privée,,La façade et la toiture (cad. R 568) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083334,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 29,propriété d'une personne privée,,La façade et la toiture (cad. R 567) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083333,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 28,propriété d'une société privée,,La façade et la toiture (cad. R 566) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083332,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 27,propriété d'une société privée,,La façade et la toiture (cad. R 565 , KL 0242) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083331,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 26,propriété d'une personne privée,,La façade et la toiture (cad. R 564 , KL 0243) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083330,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 25,propriété d'une personne privée,,La façade et la toiture (cad. R 563 , KL 0244) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
