Maisons des associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
NICE-CENTRE;29/01/2016;09H00;17H00;EMPLOI;REUNION;CLAIE - COORDINATION LOCALE ET APPUI AUX INITIATIVES DANS L'ECONOMIE SOCIALE ET SOLIDAIRE
NICE-CENTRE;29/01/2016;11H00;12H00;ORGANISME PUBLIC;REUNION;SVA ANIMATIONS
NICE-CENTRE;29/01/2016;18H00;20H00;CULTURE;COURS;OKINAWA
NICE-CENTRE;29/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;29/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;29/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-CENTRE;29/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;29/01/2016;19H00;21H00;ENSEIGNEMENT;REUNION;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;30/01/2016;10H00;11H00;ENVIRONNEMENT;COURS;TEAMDEFIS
NICE-CENTRE;30/01/2016;10H00;12H00;SPORT;COURS;DAME D'AZUR - DA
NICE-CENTRE;30/01/2016;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;25/01/2016;09H00;11H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-EST SAINT ROCH;25/01/2016;09H00;12H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;25/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;25/01/2016;09H00;12H00;CITOYENNETE;COURS;POLICE MUNICIPALE MAIRIE DE NICE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;25/01/2016;09H00;13H00;ORGANISME PUBLIC;COURS;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;25/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;25/01/2016;10H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;25/01/2016;13H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;25/01/2016;15H00;18H00;THEATRE;COURS;POIVRE ET SEL
NICE-EST SAINT ROCH;25/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;25/01/2016;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;25/01/2016;16H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;25/01/2016;17H00;18H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;25/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;25/01/2016;18H00;21H00;DANSE ;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;25/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
NICE-EST SAINT ROCH;25/01/2016;19H00;21H00;DANSE ;COURS;TRINITE COUNTRY
NICE-EST SAINT ROCH;25/01/2016;19H00;21H00;ENSEIGNEMENT;COURS;PRM - PREVENIR REAGIR MAITRISER
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/01/2016;09H00;17H00;SOCIAL;COURS;ALAID
