X,Y,OBJECTID,ID_STATION,STA_NOM,STA_ETIQUETTE,STA_COMMUNE_D,STA_LIGNE1_D,STA_LIGNE2_D,STA_LIGNE3_D,STA_LIGNE4_D,STA_LIGNE5_D,STA_LIGNE6_D,STA_LIGNE7_D,STA_LIGNE8_D,STA_LIGNEA_D,STA_LIGNEB_D,STA_LIGNEC_D,STA_LIGNED_D,STA_LIGNEE_D,STA_RESEAU_D
800665.277000003,6872360.7259,152,S168,MELPOMENE,Melpomène,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800834.461499996,6872190.9544,153,S169,ALLENDE,Allende,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
801023.178999998,6872537.2585,154,S170,ROOSEVELT,Roosevelt,Châlons-en-Champagne,1,0,0,0,0,0,0,1,0,0,0,0,0,SITAC
800860.585699998,6872647.644,155,S123,PDT ROOSEVELT,Pdt Roosevelt,St-Memmie,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
804812.204999998,6868299.5919,156,S172,LA ROUILLIE,La Rouillie,Moncetz-Longevas,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
797884.070200004,6873370.3778,158,S174,N. APPERT,N. Appert,Châlons-en-Champagne,0,0,0,0,0,0,1,0,0,0,1,0,0,SITAC
798971.658299997,6876247.9127,160,S173,L'ILET,L'Ilet,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
786288.009000003,6883388.5385,162,S175,CONDE CENTRE,Condé Centre,Condé-sur-Marne,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
786622.914800003,6883234.8024,163,S176,CONDE LOTISSEMENT,Condé Lotissement,Condé-sur-Marne,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
788287.989,6882362.3884,164,S177,AIGNY,Aigny,Aigny,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
788226.899999999,6885795.5,165,S178,ISSE,Isse,Isse,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
790448.4771,6881672.7714,166,S179,VRAUX,Vraux,Vraux,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
790852.347000003,6881645.9933,167,S180,VRAUX ABRI,Vraux Abri,Vraux,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
792055.509000003,6880865.8485,168,S181,JUVIGNY PRESSOIR,Juvigny Pressoir,Juvigny,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
792647.493299998,6880717.1851,169,S182,JUVIGNY LOUVOIS,Juvigny Louvois,Juvigny,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
792322.159000002,6879998.4784,170,S183,JUVIGNY LAC,Juvigny Lac,Juvigny,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
793037.769000001,6880255.4885,171,S184,JUVIGNY ABRI,Juvigny Abri,Juvigny,0,0,0,0,0,0,0,0,0,1,0,0,0,SITAC
785108.274300002,6880446.5615,172,S185,CHERVILLE,Cherville,Cherville,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
786225.665899999,6879555.8385,173,S186,JALONS CHATEAU D'EAU,Jâlons Château d'Eau,Jâlons,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
786701.478500001,6879495.2384,174,S187,JALONS PHARMACIE,Jâlons Pharmacie,Jâlons,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
788004.5339,6878935.9848,175,S188,AULNAY,Aulnay,Aulnay-sur-Marne,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
790595.578599997,6877782.0326,176,S189,MATOUGUES RD3,Matougues RD3,Matougues,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
790717.909400001,6877726.5833,177,S190,MATOUGUES CHATEAU D'EAU,Matougues Château d'Eau,Matougues,0,0,0,0,0,0,0,0,0,0,0,1,0,SITAC
794542.199000001,6885805.4485,178,S191,LES GRANDES-LOGES,Les Grandes-Loges,Les Grandes-Loges,0,0,0,0,0,0,0,0,1,0,0,0,0,SITAC
796282.2698,6882059.3755,179,S192,LA VEUVE,La Veuve,La Veuve,0,0,0,0,0,0,0,0,1,0,0,0,0,SITAC
803855.789499998,6881449.2899,180,S193,SAINT-ETIENNE-AU-TEMPLE,Saint-Etienne-au-Temple,Saint-Etienne-au-Temple,0,0,0,0,0,0,0,0,1,0,0,0,0,SITAC
807651.638999999,6876286.1384,181,S194,L'EPINE,L'Epine,L'Epine,0,0,0,0,0,0,0,0,1,0,0,0,0,SITAC
785484.4617,6875236.6373,182,S195,CHAMPIGNEUL,Champigneul,Champigneul-Champagne,0,0,0,0,0,0,0,0,0,0,0,0,1,SITAC
789044.121100001,6870615.8696,183,S196,THIBIE,Thibie,Thibie,0,0,0,0,0,0,0,0,0,0,0,0,1,SITAC
791126.695500001,6872576.2301,184,S197,SAINT-PIERRE,Saint-Pierre,Saint-Pierre,0,0,0,0,0,0,0,0,0,0,0,0,1,SITAC
792421.773400001,6873523.1866,185,S198,VILLERS-LE-CHATEAU,Villers-le-Château,Villers-le-Château,0,0,0,0,0,0,0,0,0,0,0,0,1,SITAC
792861.339100003,6874079.0973,186,S199,VILLERS-LE-CHATEAU MAIRIE,Villers-le-Château Mairie,Villers-le-Château,0,0,0,0,0,0,0,0,0,0,0,0,1,SITAC
