S_ID,S_NOM,S_CAP_EH,TYP_EPUR_LIB,S_DATE_M_E_S,S_C_INSEE,X,Y,Situ,latitude,longitude
0533477V002,SAINT SEURIN DE CURSAC,1600,Boues activées,1/6/1977 00:00:00,33477,416045,6457514,2017,45.160556,-0.628452
0533478V002,SAINT SEURIN SUR L'ISLE,3000,Boues activées,1/4/1985 00:00:00,33478,463958,6440051,2017,45.013359,-0.002732
0533480V001,SAINT SULPICE DE FALEYRENS,2500,Lagunage aéré,1/1/1980 00:00:00,33480,447588,6424518,2017,44.873873,-0.190413
0533483V003,SAINT SULPICE ET CAMEYRAC,5000,Boues activées,1/10/2005 00:00:00,33483,432133,6430007,2017,44.909363,-0.391523
0533484V003,SAINT SYMPHORIEN 2,1500,Filtres plantés de roseaux,1/4/2007 00:00:00,33484,423091,6376474,2017,44.427771,-0.490897
0533485V001,SAINTE TERRE,1500,Boues activées,1/1/1990 00:00:00,33485,453630,6418947,2017,44.827413,-0.113071
0533490V002,SAINT VIVIEN DE MEDOC ,1200,Boues activées,1/6/1993 00:00:00,33490,385607,6490360,2017,45.429637,-1.036538
0533492V004,SAINT YZAN DE SOUDIAC,2800,Boues activées,25/3/2010 00:00:00,33492,433955,6454795,2017,45.139453,-0.411863
0533494V003,SALAUNES,1500,Boues activées,1/1/2012 00:00:00,33494,399111,6435343,2017,44.935636,-0.83089
0533496V003,SALLEBOEUF,1500,Boues activées,8/1/2007 00:00:00,33496,431853,6422727,2017,44.84159,-0.397563
0533498V001,SALLES,3000,Boues activées,29/5/1981 00:00:00,33498,392346,6391117,2017,44.551181,-0.87033
0533498V003,SALLES 2,3000,Boues activées,1/6/2012 00:00:00,33498,391514,6390850,2017,44.551181,-0.87033
0533500V001,SAMONAC,100,Filtre à sable,1/12/2000 00:00:00,33500,418715,6447834,2017,45.073191,-0.570629
0533500V002,SAMONAC - Tourteau,100,Disque biologique,1/9/2009 00:00:00,33500,419025,6446940,2017,45.066453,-0.572133
0533501V002,SAUCATS 2,2500,Boues activées,1/10/2008 00:00:00,33501,415391,6401057,2017,44.651452,-0.596921
0533504V001,SAUTERNES,200,Lagunage naturel,1/1/1988 00:00:00,33504,433861,6387554,2017,44.531452,-0.343626
0533504V002,SAUTERNES Mahourat,300,Filtres plantés de roseaux,1/9/2006 00:00:00,33504,432776,6386022,2017,44.523157,-0.362148
0533505V002,LA SAUVE,1000,Boues activées,13/2/2008 00:00:00,33505,438392,6413631,2017,44.768479,-0.312186
0533506V002,SAUVETERRE DE GUYENNE,3200,Boues activées,1/12/1975 00:00:00,33506,455344,6403741,2017,44.692101,-0.086642
0533507V001,SAUVIAC,120,Filtres plantés de roseaux,25/5/2010 00:00:00,33507,446250,6372730,2017,44.4037,-0.185266
0533512V001,SIGALENS,200,Filtres plantés de roseaux,2/10/2006 00:00:00,33512,457022,6377697,2017,44.449089,-0.045707
0533513V001,GRIGNOLS,2000,Boues activées,1/5/2012 00:00:00,33513,456590,6369179,2017,44.387852,-0.044924
0533514V005,SOULAC SUR MER,24000,Boues activées,1/12/1975 00:00:00,33514,379497,6497530,2017,45.510244,-1.125761
0533515V001,SOULIGNAC,45,Filtres plantés de roseaux,1/1/2010 00:00:00,33515,439407,6406525,2017,44.697232,-0.283991
0533523V003,TARGON,1500,Boues activées,1/2/2012 00:00:00,33523,441673,6408892,2017,44.733847,-0.264638
0533529V017,LA TESTE CAZAUX ,5000,Boues activées,1/1/1988 00:00:00,33529,368818,6389797,2017,44.538205,-1.152644
0533529V018,LA TESTE DE BUCH 2,150000,Biofiltre,1/6/2007 00:00:00,33529,372542,6398030,2017,44.632214,-1.14605
0533530V001,TEUILLAC,500,Filtres plantés de roseaux,1/8/2009 00:00:00,33530,421870,6450267,2017,45.091911,-0.548921
0533533V003,LANGON,30000,Boues activées,1/3/2010 00:00:00,33227,441568,6389893,2017,44.552259,-0.250353
0533537V001,UZESTE,400,Lagunage naturel,1/1/1995 00:00:00,33537,434590,6377080,2017,44.44103,-0.324445
0533538V002,VALEYRAC,400,Filtres plantés de roseaux,1/6/2012 00:00:00,33538,395402,6485196,2017,45.394949,-0.895814
0533539V007,VAYRES,4500,Boues activées,1/2/2011 00:00:00,33539,438060,6428185,2017,44.896364,-0.314667
0533540V004,VENDAYS MONTALIVET,25000,Boues activées,1/6/2000 00:00:00,33540,377544,6484126,2017,45.355735,-1.060588
0533542V001,VERAC,520,Lagunage naturel,1/9/1985 00:00:00,33542,436829,6438412,2017,44.991073,-0.341862
0533544V001,LE VERDON SUR MER,5000,Boues activées,1/4/1983 00:00:00,33544,383049,6501668,2017,45.545943,-1.061689
0533545V002,VERTHEUIL,990,Boues activées,1/5/1993 00:00:00,33545,399575,6469099,2017,45.250115,-0.83464
0533546V001,VIGNONET,500,Disque biologique,1/3/2001 00:00:00,33546,451340,6421025,2017,44.845377,-0.146997
0533547V001,VILLANDRAUT (MAROT),1500,Boues activées,1/10/1989 00:00:00,33547,432065,6378961,2017,44.455992,-0.368211
0533548V001,VILLEGOUGE,750,Lagunage naturel,31/12/1991 00:00:00,33548,439985,6435350,2017,44.966832,-0.308681
0533551V003,VILLENEUVE,1450,Boues activées,1/10/2004 00:00:00,33551,414078,6448928,2017,45.082138,-0.628451
0533554V007,YVRAC (LES TABERNOTTES),2500,Boues activées,1/6/1983 00:00:00,33554,426438,6425029,2017,44.870411,-0.467732
0533554V008,YVRAC BOURG,1600,Boues activées,1/1/1986 00:00:00,33554,426187,6426589,2017,44.879252,-0.461951
0533555V003,MARCHEPRIME,8000,Boues activées,9/9/2015 00:00:00,33555,393943,6406072,2017,44.691391,-0.855964
