FID,ID,CODE_06,CODE_12,CHANGE,AREA_HA,LIBCODE12,GlobalID,SHAPE_Length,SHAPE_Area
156,FR-2225,133,121,133-121,13.2620582196,Chantiers,{4BAB99E4-8406-41D9-BD0A-A90E8E4C11B4},1559.67398967503,132620.599284226
157,FR-5579,211,133,211-133,8.08334584092,Terres arables hors périmètres d'irrigation,{CF505290-283B-4801-9FD3-63912C9ABBCD},1198.22547121631,80833.4584080327
158,FR-21761,312,324,312-324,13.2396262032,Forêts de conifères,{9F9747B6-4281-4F66-B4C2-E955899940EF},1598.43649086023,132396.262029653
159,FR-10304,242,121,242-121,3.76345925768,Systèmes culturaux et parcellaires complexes,{1333A3C0-BEE4-4B4E-A365-C643C842BE48},847.826794452407,37634.5819744777
160,FR-7989,231,133,231-133,6.80603566392,Prairies et autres surfaces toujours en herbe à usage agricole,{01A29258-FFC4-43E6-96BC-623E88189E5B},1193.62496906414,68060.3553999834
161,FR-4262,211,121,211-121,21.5323028622,Terres arables hors périmètres d'irrigation,{376C188A-DD9D-44D5-9B9C-3FBA414F255C},2012.18659811142,215323.028620385
162,FR-14387,311,324,311-324,10.7260212455,Forêts de feuillus,{0BB678C5-8083-43B7-869F-44EDAE59892C},1472.2434143915,107260.21245437
163,FR-14386,311,324,311-324,36.4467770482,Forêts de feuillus,{7A46A98B-E07E-4B76-A435-7EF2204593BA},3157.15471212026,364467.775220569
164,FR-9769,242,112,242-112,8.7417005691,Systèmes culturaux et parcellaires complexes,{EC456DA8-7BDD-4BEA-BB96-E3230145F4E2},1498.23887323972,87417.0041974531
165,FR-24895,324,311,324-311,37.9295488491,Forêt et végétation arbustive en mutation,{A6A63712-6A2E-41D3-90C0-97EA5EB4C53D},2696.38048102101,379295.484858948
166,FR-14385,311,324,311-324,6.68254148261,Forêts de feuillus,{97C8DD40-6E2A-4247-B222-CABABF5393DD},1216.50458990447,66825.426307181
167,FR-24891,324,311,324-311,25.0679827437,Forêt et végétation arbustive en mutation,{A1C2B692-F273-4160-84A4-325409E4A747},2040.39698139356,250679.818376587
168,FR-21752,312,324,312-324,8.98171891775,Forêts de conifères,{F662809F-E7B9-472E-9217-4EE86B6B36D9},1322.8209295871,89817.1844413351
169,FR-5009,211,131,211-131,20.7686438205,Terres arables hors périmètres d'irrigation,{314DF319-9605-429E-9C51-85E9F117F1F7},1867.44344910644,207686.445537703
170,FR-21751,312,324,312-324,8.21798551261,Forêts de conifères,{F244B1C5-2AF1-4FAA-A063-E134C5D27F41},1325.62628179538,82179.8427593521
