STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Ambès1,NO2,2015-04-01,1,4,4,0,3,16,21,9,1,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,21,3
Ambès1,NO2,2015-04-02,2,3,9,16,31,40,29,22,16,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,40,7
Ambès1,NO2,2015-04-03,0,2,5,22,18,32,36,32,35,20,10,0,0,0,0,0,2,4,21,1,0,0,0,0,0,36,10
Ambès1,NO2,2015-04-04,7,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,7,1
Ambès1,NO2,2015-04-05,1,2,3,6,4,3,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1
Ambès1,NO2,2015-04-06,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
Ambès1,NO2,2015-04-07,0,0,0,1,8,10,9,4,0,0,0,0,0,0,0,0,0,0,8,16,6,1,1,0,0,16,3
Ambès1,NO2,2015-04-08,0,0,2,2,7,48,41,12,8,9,6,0,0,1,0,0,1,3,6,10,18,10,11,33,0,48,10
Ambès1,NO2,2015-04-09,36,23,13,13,12,39,35,28,13,10,7,1,2,4,2,3,5,12,12,12,17,15,24,20,1,39,15
Ambès1,NO2,2015-04-10,19,15,12,12,13,19,17,16,13,12,8,5,5,5,4,3,2,3,5,2,1,4,2,2,1,19,8
Ambès1,NO2,2015-04-11,1,0,2,2,5,6,7,3,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,1
Ambès1,NO2,2015-04-12,1,4,5,5,7,5,5,3,1,0,0,0,0,0,0,0,0,0,3,6,6,4,4,6,0,7,3
Ambès1,NO2,2015-04-13,6,5,3,8,13,24,28,21,10,9,10,2,0,0,0,2,2,4,7,8,1,0,2,5,0,28,7
Ambès1,NO2,2015-04-14,4,2,5,11,13,19,22,15,6,8,9,4,0,0,0,0,0,1,11,10,9,17,26,27,0,27,9
Ambès1,NO2,2015-04-15,29,17,9,8,20,30,19,19,11,6,2,2,2,0,2,8,5,3,1,5,6,4,2,1,0,30,9
Ambès1,NO2,2015-04-16,1,5,5,4,6,19,31,34,23,15,4,4,4,11,10,1,2,0,4,4,2,1,0,0,0,34,8
Ambès1,NO2,2015-04-17,2,0,0,7,5,15,10,12,5,1,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,15,3
Ambès1,NO2,2015-04-18,5,7,10,14,14,15,13,5,2,2,2,0,0,0,0,2,8,7,4,1,1,0,0,0,0,15,5
Ambès1,NO2,2015-04-19,0,0,0,0,0,0,5,5,1,1,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,5,1
Ambès1,NO2,2015-04-20,1,1,6,19,16,19,16,19,10,8,5,1,0,0,0,1,1,0,0,10,4,5,6,4,0,19,6
Ambès1,NO2,2015-04-21,2,2,2,3,5,18,12,14,,8,5,2,4,2,2,2,2,3,6,10,16,10,13,11,2,18,7
Ambès1,NO2,2015-04-22,9,7,5,8,12,16,17,12,8,10,6,4,3,4,4,11,12,10,6,4,3,4,7,4,3,17,8
Ambès1,NO2,2015-04-23,1,0,1,1,6,9,7,6,2,1,3,1,2,2,1,1,1,2,1,2,3,1,1,2,0,9,2
Ambès1,NO2,2015-04-24,4,7,7,13,18,25,25,20,11,8,6,3,2,3,4,4,7,10,14,12,11,12,11,14,2,25,10
Ambès1,NO2,2015-04-25,8,9,8,7,12,8,9,9,6,4,3,3,4,3,0,2,1,3,3,4,4,10,6,4,0,12,5
Ambès1,NO2,2015-04-26,4,4,3,3,2,2,3,4,4,4,3,5,3,1,0,1,0,0,0,0,1,0,0,0,0,5,2
Ambès1,NO2,2015-04-27,0,0,0,3,2,5,2,2,1,1,3,1,0,1,2,0,1,1,0,0,1,4,1,2,0,5,1
Ambès1,NO2,2015-04-28,8,3,4,5,6,16,8,7,11,5,4,2,3,2,1,0,1,1,1,2,1,0,0,3,0,16,4
Ambès1,NO2,2015-04-29,3,2,1,3,6,9,14,15,7,6,2,1,2,1,0,0,0,0,0,1,5,4,4,2,0,15,4
Ambès1,NO2,2015-04-30,4,7,16,21,20,22,22,19,6,8,9,7,4,3,2,1,5,7,11,3,3,7,6,3,1,22,9
Ambès1,NO2,2015-05-01,8,5,7,4,3,1,4,3,1,2,2,2,0,0,7,7,2,0,0,1,1,1,4,0,0,8,3
Ambès1,NO2,2015-05-02,0,0,1,3,9,10,6,1,1,2,2,3,5,2,1,1,4,4,9,5,6,10,4,3,0,10,4
Ambès1,NO2,2015-05-03,3,2,1,2,2,3,2,2,3,1,0,0,0,1,1,0,1,2,3,3,8,5,1,2,0,8,2
Ambès1,NO2,2015-05-04,1,2,4,1,5,8,8,7,10,7,5,4,2,5,7,5,6,7,7,4,6,6,4,5,1,10,5
Ambès1,NO2,2015-05-05,4,0,0,0,1,3,1,1,1,1,1,1,1,1,1,0,0,2,2,2,1,6,2,1,0,6,1
Ambès1,NO2,2015-05-06,3,0,2,14,10,12,27,9,3,2,1,0,0,1,0,1,1,0,4,5,5,3,2,3,0,27,5
Ambès1,NO2,2015-05-07,4,11,14,13,9,17,11,9,8,9,5,3,3,2,2,3,4,4,4,9,9,6,4,4,2,17,7
Ambès1,NO2,2015-05-08,3,4,2,3,5,5,5,6,3,1,0,1,0,1,0,1,0,1,0,4,6,1,1,1,0,6,2
Ambès1,NO2,2015-05-09,0,0,1,2,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0,3,1
Ambès1,NO2,2015-05-10,4,4,3,3,3,2,2,1,2,1,1,0,0,0,0,0,1,2,9,12,11,14,15,18,0,18,5
Ambès1,NO2,2015-05-11,26,19,14,12,11,24,24,32,20,14,10,8,8,5,2,0,1,1,1,1,2,2,1,0,0,32,10
Ambès1,NO2,2015-05-12,0,0,0,1,4,9,13,6,4,4,1,1,3,3,2,3,2,2,6,9,5,7,9,11,0,13,4
Ambès1,NO2,2015-05-13,11,11,6,4,8,17,21,20,5,3,1,2,2,1,1,1,0,1,0,0,1,1,0,0,0,21,5
Ambès1,NO2,2015-05-14,0,0,1,1,3,3,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,2,4,0,4,1
Ambès1,NO2,2015-05-15,3,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,11,5,1,0,11,1
Ambès1,NO2,2015-05-16,2,3,7,5,6,10,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,10,2
Ambès1,NO2,2015-05-17,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Ambès1,NO2,2015-05-18,0,1,0,3,13,14,5,2,2,2,2,0,1,0,0,0,1,0,1,1,0,0,2,1,0,14,2
Ambès1,NO2,2015-05-19,0,0,0,0,1,4,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0
Ambès1,NO2,2015-05-20,3,0,2,13,13,14,11,5,2,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,14,3
Ambès1,NO2,2015-05-21,0,0,0,3,4,10,5,8,3,0,1,0,0,0,0,2,2,0,1,0,1,0,2,0,0,10,2
Ambès1,NO2,2015-05-22,0,0,0,1,6,9,7,7,4,3,2,1,1,2,2,2,1,1,0,0,0,1,0,0,0,9,2
Ambès1,NO2,2015-05-23,0,0,0,1,0,0,1,2,1,0,0,1,1,1,2,1,2,1,0,3,0,1,0,0,0,3,1
Ambès1,NO2,2015-05-24,1,1,0,2,1,2,2,2,2,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,1
Ambès1,NO2,2015-05-25,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ambès1,NO2,2015-05-26,0,2,8,2,3,7,4,4,4,2,1,1,2,3,3,2,2,4,2,3,2,3,4,2,0,8,3
Ambès1,NO2,2015-05-27,1,1,1,1,3,8,24,11,,4,3,3,3,3,2,3,2,2,0,0,0,1,2,0,0,24,3
Ambès1,NO2,2015-05-28,0,0,7,21,21,11,4,2,1,0,1,1,0,1,1,0,2,1,1,0,0,0,1,2,0,21,3
Ambès1,NO2,2015-05-29,2,1,1,5,4,13,7,5,1,1,0,1,0,1,1,1,1,0,0,0,1,1,3,13,0,13,3
Ambès1,NO2,2015-05-30,1,1,20,11,5,18,17,11,5,2,1,0,0,1,2,0,0,0,0,0,1,2,3,3,0,20,4
Ambès1,NO2,2015-05-31,2,2,4,3,8,18,9,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,18,2
Ambès1,NO2,2015-06-01,0,0,0,0,2,6,4,8,6,5,4,4,4,4,6,4,2,2,2,2,3,1,0,0,0,8,3
Ambès1,NO2,2015-06-02,3,6,3,6,25,40,31,23,3,1,0,3,1,1,1,1,1,1,1,1,1,1,0,0,0,40,6
Ambès1,NO2,2015-06-03,0,0,2,12,10,10,7,4,4,2,1,0,0,1,1,1,2,1,1,1,4,2,2,2,0,12,3
Ambès1,NO2,2015-06-04,2,4,4,5,10,9,15,12,8,10,7,3,4,2,2,2,2,3,5,7,11,13,13,15,2,15,7
Ambès1,NO2,2015-06-05,14,11,9,9,15,20,11,19,23,16,10,5,2,1,0,1,2,1,0,0,0,4,0,0,0,23,7
Ambès1,NO2,2015-06-06,2,1,0,0,2,1,3,1,1,2,2,0,1,0,0,1,1,1,2,3,0,1,1,2,0,3,1
Ambès1,NO2,2015-06-07,2,2,1,1,1,2,2,4,3,2,2,2,2,1,1,2,1,2,2,3,2,2,2,3,1,4,2
Ambès1,NO2,2015-06-08,3,3,2,5,8,12,11,10,9,7,6,5,4,2,4,3,4,2,4,2,2,3,4,4,2,12,5
Ambès1,NO2,2015-06-09,4,5,4,4,5,6,7,7,5,5,5,5,4,5,5,5,6,5,5,5,6,6,5,4,4,7,5
Ambès1,NO2,2015-06-10,4,3,2,6,10,8,12,8,9,14,10,13,12,8,7,6,9,8,7,8,9,9,9,9,2,14,8
Ambès1,NO2,2015-06-11,9,10,7,6,10,14,16,16,21,15,12,13,8,9,6,6,6,9,10,8,2,4,4,3,2,21,9
Ambès1,NO2,2015-06-12,2,2,4,2,8,8,9,6,4,2,1,1,1,1,3,2,2,1,1,0,2,0,0,0,0,9,3
Ambès1,NO2,2015-06-13,2,2,3,3,4,6,7,4,5,5,6,4,3,2,3,3,2,2,2,2,2,2,2,1,1,7,3
Ambès1,NO2,2015-06-14,3,2,1,5,35,12,8,4,4,5,1,0,1,1,0,2,2,2,2,2,3,2,3,5,0,35,4
Ambès1,NO2,2015-06-15,4,5,2,1,2,5,3,4,3,3,2,3,1,2,2,2,3,4,3,4,5,3,2,2,1,5,3
Ambès1,NO2,2015-06-16,2,1,2,3,2,5,4,6,4,3,3,5,3,3,4,4,4,1,1,1,3,2,3,3,1,6,3
Ambès1,NO2,2015-06-17,4,3,4,4,6,9,11,9,7,6,5,4,3,3,4,5,3,4,4,4,2,5,4,2,2,11,5
Ambès1,NO2,2015-06-18,2,2,3,7,21,13,6,5,4,4,2,2,0,2,1,2,2,0,1,1,0,0,0,0,0,21,3
Ambès1,NO2,2015-06-19,1,0,0,0,0,2,2,3,5,3,0,2,0,1,3,3,3,3,2,4,1,5,3,3,0,5,2
Ambès1,NO2,2015-06-20,4,4,4,5,26,15,5,6,6,4,2,1,1,0,0,2,2,3,1,2,4,4,5,5,0,26,5
Ambès1,NO2,2015-06-21,3,2,3,4,7,6,4,5,9,6,4,3,1,0,0,0,1,1,0,2,1,2,2,2,0,9,3
Ambès1,NO2,2015-06-22,1,2,2,12,20,19,11,8,10,7,2,3,1,3,1,2,1,0,1,0,2,0,1,0,0,20,5
