FID,nature,index_,nb_logmt,export,source,SHAPE_Length,SHAPE_Area
1665,Résidence,LA VARANGUE,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,102.686114441676,644.631200000589
1666,Résidence,VANILLA,40,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,153.645202844319,1003.81165002415
1667,Résidence,RASSOUL,6 logts + 2 com,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,71.8942688327287,317.860750001233
1668,Résidence,SAINT-MICHEL,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,100.371970250597,633.261950004807
1669,Résidence,LE MILIUS,6,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,69.8273884327222,280.906299989814
1670,Résidence,KINGSLEY,32,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,159.498233484491,1228.56399999399
1671,Résidence,LES JUMELLES DE BELLEPIERRE,8,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,158.150201739267,1374.66084997997
1672,Promoteur SCI,MV (HOTEL LA VILLA ANGELIQUE),Hotel de 10 Chambres,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,126.722884432463,890.678499993385
1673,SHLMR,AUTEUIL,71 LLS + 24 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,326.820470245606,4322.70630001908
1674,Résidence,LES AMBREVATTES,34,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,123.30587716921,964.109350013352
1675,Promoteur SICA,RHI PRIMAT, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,208.581664140331,2410.66339999159
1676,Résidence,LES BIBASSIERS, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,192.236210076525,1941.60895002205
1677,Résidence,LE FLAMBOYANT II,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,87.1895040449472,409.243799995639
1678,Résidence,BELLEVUE,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,125.379124974496,921.731500001423
1679,Résidence,LE MANGOUSTAN,8,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,80.9288688922855,414.570749999384
1680,Résidence,HELENE,7,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,63.928083446578,218.626650008746
1681,Résidence,LE PARFUM DES ISLES,31,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,174.938878752529,1810.55800001833
1682,Promoteur PROMOJET,LE PALAIS DU PHARO,43,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,139.026841891233,1113.24925000635
