X,Y,FID,categori,nom,type,capacite,etat,adresse,gestionn,tranche_ag,hjrs_ouver,source,export
338191.5034,7688969.3882,50,Micro crèche,Bellepierre I,Etablissement Privé,10,Actuel,53 Allée des Topazes - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338187.3862,7688963.123,51,Micro crèche,Bellepierre II,Etablissement Privé,10,Actuel,53 Allée des Topazes - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342290.9005,7689109.0707,52,Micro crèche,Les P'tites Canailles,Etablissement Associatif,10,Actuel,63 Rue Emile Grimaud - 97490 Sainte-Clotilde,Asso le Manège Encha,2 mois et demi à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342432.18,7689082.68,53,Lieu d'accueil Enfant Parent,LAEP,Etablissement municipal, ,Actuel,6 Rue Indiana Chaudron - 97490 Sainte-Clotilde, , , ,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339227.41,7689980.66,54,Crèche collective,Perles à Pinpins,Etablissement Associatif,48,Actuel,130 Rue Jules Auber - 97400 Saint-Denis,association babyland,10 semaines à 5 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339768.0427,7686363.633,55,Micro crèche,Les Ptits Papillons,Etablissement Associatif,10,Actuel,127 Route de Saint Francois - 97400 Saint-Denis,Asso les Flamboyants,2 mois et demi à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
335952.9926,7689301.456,56,Micro crèche,Poterne 1,Etablissement Privé,10,Actuel,3 Chemin Bailly 97417 - La Montagne,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
335936.7875,7689301.0348,57,Micro crèche,Creche and go Poterne 2,Etablissement Privé,10,Actuel,3 Chemin Bailly 97417 - La Montagne,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
344345.963,7687675.7635,58,Micro crèche,Pierrot,Etablissement Associatif,10,Actuel,7 Rue Henry Cornu Rodrigues II Zone Technor - 97490 Sainte-Clotilde,Asso Pierrot,2 mois à 6 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339642.4604,7689575.4954,59,Centre multi accueil,Les Zinnias,Etablissement Associatif,29,Actuel,30 Rue d'Après - 97400 Saint-Denis,association babyland,de la marche à 5 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342795.5695,7688812.1369,60,Centre multi accueil,Léonel Payet,Etablissement Municipal,63,Actuel,6 Rue Jacob de Cordemoy - 97490 Sainte-Clotilde,C.C.A.S. de Saint Denis,2 mois et demi à 6 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339015.3362,7689894.7041,61,Centre multi accueil,Paul Demange,Etablissement Municipal,58,En travaux,13bis Rue Monseigneur de Beaumont -  97400 Saint-Denis,C.C.A.S. de Saint Denis,- de 3 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
