Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;23/02/2016;18H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;23/02/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;23/02/2016;19H00;21H00;SANTE;ATELIER;L'ECOLE DE LA VIE
GARIBALDI;23/02/2016;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;23/02/2016;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;23/02/2016;20H00;21H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;24/02/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
GARIBALDI;24/02/2016;10H00;12H00;SANTE;COURS;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;24/02/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;24/02/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;24/02/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;24/02/2016;14H00;17H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;24/02/2016;14H00;16H00;SENIORS;ATELIER;CONSEIL DES SENIORS DE NICE 
GARIBALDI;24/02/2016;16H00;20H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;24/02/2016;17H00;18H00;SOCIAL;PERMANENCE;ASSOCIATION PAIZO
GARIBALDI;24/02/2016;17H00;19H00;CULTURE;COURS;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
GARIBALDI;24/02/2016;18H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;24/02/2016;18H00;21H00;LOISIRS;COURS;ARS ANTONINA
GARIBALDI;24/02/2016;18H00;21H00;ORGANISME PUBLIC;CONFERENCE;MAIRIE DE NICE
GARIBALDI;24/02/2016;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;24/02/2016;19H00;21H00;ACTIVITE BIEN ETRE;COURS;AZUR TAI CHI ASSOCIATION CULTURELLE ETHIQUE ET SOLIDAIRE EN PROVENCE ALPES COTE D'AZUR
GARIBALDI;24/02/2016;20H00;21H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;25/02/2016;09H00;12H00;LOISIRS;PERMANENCE;LA JOIE DE VIVRE MM 06
GARIBALDI;25/02/2016;09H00;12H00;LOISIRS;COURS;L'ESCAPADE
GARIBALDI;25/02/2016;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;25/02/2016;10H00;13H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;25/02/2016;11H00;12H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;25/02/2016;13H00;15H00;LOISIRS;PERMANENCE;SAVA - SPORT ACTION VOYAGES AMITIE 
GARIBALDI;25/02/2016;13H00;17H00;ORGANISME PUBLIC;ATELIER;MAIRIE DE NICE
GARIBALDI;25/02/2016;14H00;17H00;ENSEIGNEMENT;CONFERENCE;UNIA - UNIVERSITE DE NICE INTER AGES
GARIBALDI;25/02/2016;14H00;17H00;SOCIAL;ANIMATION;AXENCE
GARIBALDI;25/02/2016;15H00;17H00;ENSEIGNEMENT;REUNION;ASSOUCIACIOUN DOU MALOUNAT
GARIBALDI;25/02/2016;16H00;18H00;SOCIAL;PERMANENCE;ALETHEIA
GARIBALDI;25/02/2016;17H00;18H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;25/02/2016;17H00;19H00;LOISIRS;COURS;L'ESCAPADE
GARIBALDI;25/02/2016;17H00;18H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
GARIBALDI;25/02/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;25/02/2016;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;25/02/2016;18H00;21H00;CULTURE;CONFERENCE;LES AMIS DE LA LIBERTE 
