objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
1081,90037,ELOIE,2020/01/29 00:00:00+00, ,11890.450687245,2824.58141817152
1082,90010,BELFORT,2020/01/29 00:00:00+00, ,1074.71018618,251.386394290671
1083,90087,ROPPE,2020/01/29 00:00:00+00, ,3654.92305031,865.725522491717
1084,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,11889.02708714,1328.57757242805
1086,90010,BELFORT,2020/01/29 00:00:00+00, ,16147.836957835,2606.37291032189
1087,90010,BELFORT,2020/01/29 00:00:00+00, ,3551.947362255,550.621679785765
1088,90010,BELFORT,2020/01/29 00:00:00+00, ,567.10705362,122.429039928587
1090,90001,ANDELNANS,2020/01/29 00:00:00+00, ,49.807767035,29.6728446486633
1092,90021,CHARMOIS,2020/01/29 00:00:00+00, ,113413.877367715,19684.9096347521
1093,90010,BELFORT,2020/01/29 00:00:00+00, ,7878.095120105,1517.8972720999
1094,90010,BELFORT,2020/01/29 00:00:00+00, ,2513.049208795,635.437559434643
1095,90010,BELFORT,2020/01/29 00:00:00+00, ,2370.17619183,429.070608093065
1096,90010,BELFORT,2020/01/29 00:00:00+00, ,4236.520604415,881.498161002007
1097,90010,BELFORT,2020/01/29 00:00:00+00, ,857.629130925,544.688425597048
1098,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,14480.007564345,1617.16586677848
1099,90010,BELFORT,2020/01/29 00:00:00+00, ,1478.458921495,289.334421932672
1101,90008,BAVILLIERS,2020/01/29 00:00:00+00,Pont,33.161563465,23.049720135705
1104,90010,BELFORT,2020/01/29 00:00:00+00, ,1266.51656592,305.703276986882
1105,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,75153.219908305,18102.8947168176
1107,90010,BELFORT,2020/01/29 00:00:00+00, ,1796.666266265,343.36702492377
1108,90010,BELFORT,2020/01/29 00:00:00+00, ,813.336178515,245.943641079629
1109,90010,BELFORT,2020/01/29 00:00:00+00, ,1529.2443683,241.966451925944
1110,90099,VALDOIE,2020/01/29 00:00:00+00,Pont,383.90894114,80.9326831531783
1111,90010,BELFORT,2020/01/29 00:00:00+00, ,1305.01399278,361.294556488484
1113,90099,VALDOIE,2020/01/29 00:00:00+00,Pont,250.75475066,68.3835447723295
1114,90010,BELFORT,2020/01/29 00:00:00+00, ,2302.175807575,617.326641205087
1115,90010,BELFORT,2020/01/29 00:00:00+00, ,848.10848067,199.296981892167
1116,90010,BELFORT,2020/01/29 00:00:00+00, ,1410.93083134,325.630341312558
1117,90093,SERMAMAGNY,2020/01/29 00:00:00+00,Pont,92.77056173,78.5495336051629
1118,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,7000.51943298,1420.66029143098
1119,90010,BELFORT,2020/01/29 00:00:00+00, ,190.92103757,164.297930857213
1122,90010,BELFORT,2020/01/29 00:00:00+00, ,3986.14682893,706.153379738303
1123,90072,MORVILLARS,2020/01/29 00:00:00+00, ,464.583710855,305.877434686712
1124,90010,BELFORT,2020/01/29 00:00:00+00, ,10619.09433936,1666.67984119866
1125,90010,BELFORT,2020/01/29 00:00:00+00, ,4394.104913745,1309.29762804181
1126,90087,ROPPE,2020/01/29 00:00:00+00, ,11688.507271955,2211.16970312958
1127,90010,BELFORT,2020/01/29 00:00:00+00, ,8209.979557055,1477.65946275272
1128,90010,BELFORT,2020/01/29 00:00:00+00, ,726.90848461,167.408683008136
1129,90010,BELFORT,2020/01/29 00:00:00+00, ,5370.90514232,831.549227122565
1130,90087,ROPPE,2020/01/29 00:00:00+00, ,2761.649396345,773.385593977489
1131,90010,BELFORT,2020/01/29 00:00:00+00, ,4964.625993525,693.537080002088
1133,90010,BELFORT,2020/01/29 00:00:00+00, ,1418.164396405,306.295211230693
1134,90093,SERMAMAGNY,2020/01/29 00:00:00+00,Pont,225.81129869,75.8729979513932
1135,90010,BELFORT,2020/01/29 00:00:00+00, ,3380.61544464,812.637318817492
1136,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,8392.80035801,639.573757670354
1137,90087,ROPPE,2020/01/29 00:00:00+00, ,8737.215656805,2032.358892737
1138,90010,BELFORT,2020/01/29 00:00:00+00,Pont,706.035003325,110.698503557754
1139,90034,DENNEY,2020/01/29 00:00:00+00, ,3772.319115285,800.9446205718
1140,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,51.34363628,34.5446406320208
1141,90002,ARGIESANS,2020/01/29 00:00:00+00, ,1826.581544905,424.623754674416
1143,90087,ROPPE,2020/01/29 00:00:00+00, ,3886.168386985,1044.44894393437
1144,90010,BELFORT,2020/01/29 00:00:00+00, ,2289.783452515,361.27595018391
1145,90010,BELFORT,2020/01/29 00:00:00+00, ,1346.6988198,348.4049685894
1146,90010,BELFORT,2020/01/29 00:00:00+00, ,5792.499901975,1045.07309091679
1147,90010,BELFORT,2020/01/29 00:00:00+00, ,1289.044776055,273.537381505174
1148,90010,BELFORT,2020/01/29 00:00:00+00, ,22008.352434445,4940.98648136447
1149,90001,ANDELNANS,2020/01/29 00:00:00+00,Pont,150.595250805,64.0350697419969
1150,90042,EVETTE-SALBERT,2020/01/29 00:00:00+00, ,53.285974685,43.0316604231421
1151,90010,BELFORT,2020/01/29 00:00:00+00, ,2133.128050075,437.965409522806
1152,90010,BELFORT,2020/01/29 00:00:00+00, ,1200.044898305,271.883448465643
1153,90037,ELOIE,2020/01/29 00:00:00+00, ,3801.395416185,940.033656261377
1154,90010,BELFORT,2020/01/29 00:00:00+00, ,893.148435515,230.10886215771
1155,90010,BELFORT,2020/01/29 00:00:00+00, ,2775.03348273,500.525055789702
1156,90010,BELFORT,2020/01/29 00:00:00+00, ,37540.56642943,5341.81052601742
1157,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,836.27754175,456.254937304843
1158,90087,ROPPE,2020/01/29 00:00:00+00, ,12309.25731063,3399.71085717806
1160,90010,BELFORT,2020/01/29 00:00:00+00, ,10057.186942485,1689.86666261586
1161,90010,BELFORT,2020/01/29 00:00:00+00, ,1048.41233755,296.604675048632
1162,90010,BELFORT,2020/01/29 00:00:00+00, ,2061.15380306,457.295337116166
1163,90010,BELFORT,2020/01/29 00:00:00+00, ,1125.75447786,251.712759665819
1164,90010,BELFORT,2020/01/29 00:00:00+00, ,809.28054079,194.973284324551
1165,90087,ROPPE,2020/01/29 00:00:00+00, ,667.57803684,199.880094934745
1167,90010,BELFORT,2020/01/29 00:00:00+00, ,777.39616464,280.510249677161
1168,90010,BELFORT,2020/01/29 00:00:00+00,Passerelle,186.10739611,74.6600205980825
1169,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,14811.889357715,1018.15799252759
1170,90010,BELFORT,2020/01/29 00:00:00+00, ,2725.611615775,819.213576029234
1171,90010,BELFORT,2020/01/29 00:00:00+00, ,232.20587658,73.46680305011
1172,90010,BELFORT,2020/01/29 00:00:00+00, ,1842.3910305,389.119587358432
1173,90087,ROPPE,2020/01/29 00:00:00+00, ,270.565024595,104.109111042532
1174,90087,ROPPE,2020/01/29 00:00:00+00, ,2099.496666855,708.56749359476
1175,90010,BELFORT,2020/01/29 00:00:00+00, ,6344.444659345,768.380398401186
1176,90010,BELFORT,2020/01/29 00:00:00+00, ,30.99356074,158.886191933513
1177,90010,BELFORT,2020/01/29 00:00:00+00, ,839.87034666,201.113651258108
1178,90010,BELFORT,2020/01/29 00:00:00+00, ,27436.598151945,4133.21295039416
1179,90010,BELFORT,2020/01/29 00:00:00+00, ,2233.82201218,459.598027607679
1180,90010,BELFORT,2020/01/29 00:00:00+00, ,4877.27113774,679.701566900754
1181,90010,BELFORT,2020/01/29 00:00:00+00, ,4256.046267155,773.599487210211
1182,90032,DANJOUTIN,2020/01/29 00:00:00+00, ,241.213721685,68.6331994687109
1184,90010,BELFORT,2020/01/29 00:00:00+00, ,2356.38358794,471.446499020308
1185,90037,ELOIE,2020/01/29 00:00:00+00,Pont,19.73654144,18.5093944291533
1186,90010,BELFORT,2020/01/29 00:00:00+00, ,139.56629001,54.4106262366959
1187,90010,BELFORT,2020/01/29 00:00:00+00, ,10410.78981162,1482.33132443048
1188,90010,BELFORT,2020/01/29 00:00:00+00, ,1405.57118405,345.452171666233
1189,90010,BELFORT,2020/01/29 00:00:00+00, ,608.53959489,147.372834511826
1191,90068,MEROUX,2020/01/29 00:00:00+00, ,7671.07315093,2381.22252933191
1192,90010,BELFORT,2020/01/29 00:00:00+00, ,1707.90204994,457.539087390095
1194,90010,BELFORT,2020/01/29 00:00:00+00, ,951.718019905,212.860258348579
