% Requête :select s.senmat as "Matricule", s.quacod as "Qualité", s.sennomuse as "Nom usuel", s.senprenomuse as "Prénom usuel", s.etasencod as "État Sénateur",
% c.COMLIBAMELI as "Nom commission", typ.TYPORGLIB as "Type commission", mc.MEMCOMID as "Id d'appartenance",  mc.MEMCOMDATDEB as "Début d'appartenance", mc.memcomdatfin as "Fin d'appartenance",
% fmc.FONMEMCOMID as "Id de fonction",
% fmc.FONMEMCOMDATDEB as "Début de fonction", fmc.FONMEMCOMDATFIN as "Fin de fonction",
% fc.FONCOMLIB as "Fonction"
% from senateurs.sen s
% inner join senateurs.memcom mc ON s.senmat = mc.senmat
% inner join senateurs.com c on mc.ORGCOD = c.ORGCOD
% inner join senateurs.fonmemcom fmc on mc.MEMCOMID = fmc.memcomid
% inner join senateurs.foncom fc on fmc.FONCOMCOD = fc.FONCOMCOD
% inner join senateurs.typorg typ on c.TYPORGCOD = typ.TYPORGCOD
% where s.etasencod in ('ACTIF', 'ANCIEN') 
% and c.EVETEMPUB = 'OUI'
% and mc.EVETEMPUB = 'OUI'
% and fmc.EVETEMPUB = 'OUI'
% order by s.sennomuse, s.senprenomuse, s.senmat, mc.MEMCOMDATDEB, fmc.fonmemcomdatdeb
% Aucun paramètre
% 14723 ligne(s) de résultat
Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Nom commission,Type commission,Id d'appartenance,Début d'appartenance,Fin d'appartenance,Id de fonction,Début de fonction,Fin de fonction,Fonction
89017R,M.,Adnot,Philippe,ANCIEN,Commission spéciale,Commission spéciale,1016,2003-02-12 00:00:00.0,2003-07-21 00:00:00.0,1427,2003-02-12 00:00:00.0,2003-07-21 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,2152,2003-12-09 00:00:00.0,2020-09-30 00:00:00.0,2949,2003-12-09 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,2718,2004-12-14 00:00:00.0,2020-09-30 00:00:00.0,3630,2004-12-14 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,2733,2004-12-20 00:00:00.0,2020-09-30 00:00:00.0,3645,2004-12-20 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,Commission spéciale sur la recherche,Commission spéciale,2974,2005-11-24 00:00:00.0,2006-03-17 00:00:00.0,3885,2005-11-24 00:00:00.0,2006-03-17 00:00:00.0,Secrétaire
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3101,2005-12-13 00:00:00.0,2020-09-30 00:00:00.0,4021,2005-12-13 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3129,2005-12-20 00:00:00.0,2020-09-30 00:00:00.0,4049,2005-12-20 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3257,2006-03-07 00:00:00.0,2006-03-14 00:00:00.0,4176,2006-03-07 00:00:00.0,2006-03-14 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3413,2006-12-12 00:00:00.0,2006-12-14 00:00:00.0,4332,2006-12-12 00:00:00.0,2006-12-14 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3441,2006-12-19 00:00:00.0,2006-12-20 00:00:00.0,4360,2006-12-19 00:00:00.0,2006-12-20 00:00:00.0," "
