Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;15/01/2016;14H00;17H00;SANTE;PERMANENCE;FRANCE PARKINSON
GARIBALDI;15/01/2016;15H00;20H00;MUSIQUE;COURS;CMM - CENTRE MUSICAL MEDITERRANEEN
GARIBALDI;15/01/2016;16H00;19H00;CULTURE;BUFFET;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;15/01/2016;18H00;20H00;SOCIAL;CONFERENCE;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
GARIBALDI;15/01/2016;18H00;21H00;SPECTACLE VIVANT;COURS;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;15/01/2016;19H00;21H00;CULTURE;COURS;OKINAWA
GARIBALDI;15/01/2016;20H00;23H00;SOCIAL;CONFERENCE;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
GARIBALDI;16/01/2016;10H00;13H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;16/01/2016;10H00;11H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;16/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;16/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;16/01/2016;10H00;12H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;16/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;16/01/2016;14H00;16H00;CULTURE;COURS;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;16/01/2016;14H00;18H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
GARIBALDI;16/01/2016;14H00;15H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;16/01/2016;15H00;18H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;16/01/2016;15H00;18H00;CULTURE;CONFERENCE;NICE PARIS CULTURE 
GARIBALDI;16/01/2016;18H00;21H00;SANTE;CONFERENCE;JALMALV - JUSQU'A LA MORT ACCOMPAGNER LA VIE
LIBERATION;16/01/2016;10H00;12H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;16/01/2016;13H00;15H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;16/01/2016;16H00;18H00;ACTIVITE BIEN ETRE;ATELIER;LA VOIE ZEN GESTION DU STRESS
NICE-CENTRE;11/01/2016;10H00;12H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;11/01/2016;11H00;14H00;ENVIRONNEMENT;REUNION;SENS AFRIQUE SOLIDAIRE
NICE-CENTRE;11/01/2016;15H00;18H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;11/01/2016;18H00;20H00;CITOYENNETE;REUNION;ENGAGEMENT CITOYEN POUR LA FRANCE
NICE-CENTRE;11/01/2016;18H00;21H00;EMPLOI;REUNION;SNC - SOLIDARITES NOUVELLES FACE AU CHOMAGE
NICE-CENTRE;11/01/2016;18H00;21H00;ENSEIGNEMENT;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;12/01/2016;10H00;17H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;12/01/2016;18H00;21H00;ENVIRONNEMENT;REUNION;LPO - LIGUE POUR LA PROTECTION DES OISEAUX
NICE-CENTRE;12/01/2016;18H00;21H00;THEATRE;REPETITION;COMPAGNIE AU BALCON
NICE-CENTRE;13/01/2016;10H00;13H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;13/01/2016;13H00;16H00;HANDICAP;REUNION;SESSAD LES NOISETIERS
NICE-CENTRE;13/01/2016;13H00;19H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;13/01/2016;13H00;19H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;13/01/2016;13H00;17H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;13/01/2016;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;14/01/2016;17H00;19H00;CULTURE;REUNION;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;14/01/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;14/01/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;15/01/2016;14H00;17H00;SOCIAL;REUNION;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;15/01/2016;17H00;18H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;15/01/2016;18H00;20H00;CULTURE;COURS;OKINAWA
NICE-CENTRE;15/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;15/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;15/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-CENTRE;15/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;15/01/2016;19H00;21H00;ENSEIGNEMENT;REUNION;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;16/01/2016;10H00;11H00;ENVIRONNEMENT;COURS;TEAMDEFIS
NICE-CENTRE;16/01/2016;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-EST SAINT ROCH;11/01/2016;09H00;12H00;SOCIAL;REUNION;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;11/01/2016;09H00;11H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-EST SAINT ROCH;11/01/2016;09H00;12H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;11/01/2016;09H00;13H00;EMPLOI;COURS;EGEE 06 - ENTENTE DES GENERATIONS POUR L'EMPLOI ET
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;11/01/2016;09H00;13H00;ORGANISME PUBLIC;COURS;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;11/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;11/01/2016;10H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;11/01/2016;10H00;16H00;ARTS PLASTIQUES;ATELIER;L'ATELIER DE ZINKA
NICE-EST SAINT ROCH;11/01/2016;13H00;14H00;DANSE ;COURS;LOS TIGRES TANGO
NICE-EST SAINT ROCH;11/01/2016;13H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;11/01/2016;13H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;11/01/2016;15H00;18H00;THEATRE;COURS;POIVRE ET SEL
NICE-EST SAINT ROCH;11/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;11/01/2016;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;11/01/2016;16H00;19H00;SANTE;REUNION;POLE PSY
NICE-EST SAINT ROCH;11/01/2016;17H00;18H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;11/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;11/01/2016;18H00;21H00;DANSE ;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;11/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
