Code,Communes,taux com. - taxe fonc. / prop. bâties - 2014 (%),taux com. - taxe fonc. / prop. non bâties - 2014 (%),produit com. - taxe fonc. / prop. non bâties - 2014 (euros)
33319,Pessac-sur-Dordogne,"10,6","52,2",18656
33320,Petit-Palais-et-Cornemps,"12,2","38,1",17742
33321,Peujard,"21,5","55,9",21768
33322,Le Pian-Médoc,"12,3","37,9",29385
33323,Le Pian-sur-Garonne,"13,5","54,6",20762
33324,Pineuilh,"13,4","46,9",39961
33325,Plassac,"13,2","33,5",19059
33326,Pleine-Selve,"18,4","50,5",6391
33327,Podensac,"20,7","54,6",26847
33328,Pomerol,"16,8","47,4",172835
33329,Pompéjac,"19,7","60,5",7091
33330,Pompignac,"21,2",44,19244
33331,Pondaurat,"18,1","82,2",19180
33332,Porchères,16,"56,7",14924
33333,Le Porge,"24,1","31,8",65537
33334,Portets,"22,2","63,7",58283
33335,Le Pout,"18,7","58,6",5815
33336,Préchac,"12,3","43,6",22949
33337,Preignac,"18,2","67,7",54405
33338,Prignac-en-Médoc,"11,8","22,9",11579
33339,Prignac-et-Marcamps,"29,2","81,1",35409
33341,Pugnac,20,"71,6",35964
33342,Puisseguin,16,"40,1",89400
33343,Pujols-sur-Ciron,"19,7","38,4",11756
33344,Pujols,15,"58,7",21889
33345,Le Puy,"14,9","44,3",12962
33346,Puybarban,"21,9","85,5",13948
33347,Puynormand,"16,5",47,10146
33348,Queyrac,"13,4","43,4",34846
33349,Quinsac,"16,4",45,18675
33350,Rauzan,"16,1",40,10938
33351,Reignac,"12,1","37,9",21968
33352,La Réole,"17,3","61,5",26625
33353,Rimons,"9,5","41,2",21360
33354,Riocaud,"13,6","36,8",12711
33355,Rions,13,"41,9",26336
33356,La Rivière,21,"51,7",12089
33357,Roaillan,"22,1","61,1",22861
33358,Romagne,"20,8","95,3",20441
33359,Roquebrune,"11,9","62,4",15228
33360,La Roquille,"13,9","41,3",10308
33361,Ruch,"17,1","64,5",41406
33362,Sablons,"17,2","44,1",13589
33363,Sadirac,"20,8","48,5",27812
33364,Saillans,"24,2",59,30275
33365,Saint-Aignan,"11,9","59,2",21019
33366,Saint-André-de-Cubzac,"23,6","59,3",76238
33367,Saint-André-du-Bois,"23,4","83,6",44313
33369,Saint-André-et-Appelles,"11,4","48,4",25610
33370,Saint-Androny,"15,3","46,2",31891
33371,Saint-Antoine,"22,3","40,1",261
33372,Saint-Antoine-du-Queyret,"11,4",43,2633
33373,Saint-Antoine-sur-l'Isle,"16,7","59,3",13583
33374,Saint-Aubin-de-Blaye,"13,3","33,3",11348
33375,Saint-Aubin-de-Branne,"20,5","48,5",10860
33376,Saint-Aubin-de-Médoc,"21,2","49,2",44645
33377,Saint-Avit-de-Soulège,"12,3","36,8",3667
33378,Saint-Avit-Saint-Nazaire,"22,9",71,62869
33379,Saint-Brice,"10,4","33,7",10015
33380,Saint-Caprais-de-Blaye,"16,3","65,3",11944
33381,Saint-Caprais-de-Bordeaux,"21,7","56,9",13363
33382,Saint-Christoly-de-Blaye,"15,7",50,32001
33383,Saint-Christoly-Médoc,"14,3","29,9",29348
33384,Saint-Christophe-des-Bardes,"22,6","60,2",108151
33385,Saint-Christophe-de-Double,"15,2","44,2",25101
33386,Saint-Cibard,"20,9",47,7857
33387,Saint-Ciers-d'Abzac,"11,7","44,5",16959
33388,Saint-Ciers-de-Canesse,"20,3","53,3",28087
33389,Saint-Ciers-sur-Gironde,"23,5","74,8",71780
33390,Sainte-Colombe,"10,1",35,8135
33391,Saint-Côme,"14,3","61,4",7916
33392,Sainte-Croix-du-Mont,9,"57,2",43723
33393,Saint-Denis-de-Pile,"28,6","81,2",67053
33394,Saint-Émilion,"22,5","64,9",629445
33395,Saint-Estèphe,22,38,253188
33396,Saint-Étienne-de-Lisse,"15,5","43,9",61797
33397,Sainte-Eulalie,"22,9","51,2",28756
33398,Saint-Exupéry,"14,2","57,2",7529
33399,Saint-Félix-de-Foncaude,"8,7","32,3",11383
33400,Saint-Ferme,"12,4","63,3",37974
33401,Sainte-Florence,"10,8","45,7",6272
33402,Sainte-Foy-la-Grande,"26,3","61,7",268
33403,Sainte-Foy-la-Longue,"19,9","55,7",23986
33404,Sainte-Gemme,"11,4","50,9",14932
33405,Saint-Genès-de-Blaye,"17,5","41,5",15200
33406,Saint-Genès-de-Castillon,"13,4","50,7",14935
33407,Saint-Genès-de-Fronsac,"26,1","82,3",20425
33408,Saint-Genès-de-Lombaud,"12,1","54,2",11631
33409,Saint-Genis-du-Bois,"12,5","42,9",3098
33411,Saint-Germain-de-Grave,"13,2",47,16666
33412,Saint-Germain-d'Esteuil,"17,3","36,5",33006
33413,Saint-Germain-du-Puch,"38,7","107,4",65090
33414,Saint-Germain-de-la-Rivière,"22,2","60,3",11169
33415,Saint-Gervais,"10,8","35,7",10831
33416,Saint-Girons-d'Aiguevives,"16,9","42,1",18165
33417,Sainte-Hélène,"17,2","42,3",40722
33418,Saint-Hilaire-de-la-Noaille,"17,3","57,6",19672
33419,Saint-Hilaire-du-Bois,"18,7","57,2",11114
33420,Saint-Hippolyte,"13,9","33,9",32197
33421,Saint-Jean-de-Blaignac,"16,4","45,4",11723
33422,Saint-Jean-d'Illac,"24,9","42,3",68382
33423,Saint-Julien-Beychevelle,"18,8","34,6",354108
33424,Saint-Laurent-Médoc,"27,8","59,2",222735
33425,Saint-Laurent-d'Arce,"18,8","47,8",11654
33426,Saint-Laurent-des-Combes,"17,1","41,1",32238
33427,Saint-Laurent-du-Bois,"21,9","56,2",23369
33428,Saint-Laurent-du-Plan,"13,7","56,7",5649
33429,Saint-Léger-de-Balson,"33,8","58,2",22377
33431,Saint-Léon,"15,2","54,3",8435
33432,Saint-Loubert,"11,9","47,2",3307
33433,Saint-Loubès,21,64,78372
33434,Saint-Louis-de-Montferrand,"27,2","82,7",27851
33435,Saint-Macaire,"22,9","110,7",5356
33436,Saint-Magne,"16,2","33,2",21467
33437,Saint-Magne-de-Castillon,"12,8","47,1",43235
33438,Saint-Maixant,"14,4","55,2",30758
33439,Saint-Mariens,"13,9",50,18442
33440,Saint-Martial,"12,9",70,31289
