resource_id,dataset_id,url,content_type,content_length,filename,magic_mime,real_size
8d9da096-4fc0-44f8-964d-7504f62033f7,58498da388ee387338c65bb3,https://static.data.gouv.fr/resources/compte-administratif-2012-etat-de-ventilation-des-depenses-et-recettes-des-services-assujettis-a-la-tva-section-dinvestisement/20161208-174337/Onglet_41_CA2012_ventilation_des_depenses_et_recettes_des_services_assuj.TVA_section_dinvestissement.csv,text/csv,954,./data/58498da388ee387338c65bb3_8d9da096-4fc0-44f8-964d-7504f62033f7.csv,text/plain,954
5e22f61f-1a7f-443b-9eaf-793d8f187e65,5fe331236a465ddaa6f4e8fb,https://static.data.gouv.fr/resources/fourriere-municipale-automobile-dantibes/20201223-125956/antibes-fourriere.csv,text/csv,666,./data/5fe331236a465ddaa6f4e8fb_5e22f61f-1a7f-443b-9eaf-793d8f187e65.csv,application/csv,666
20f91764-c7c3-4f47-bfe0-7bcc9d5f7f14,545119c4c751df23485a81f3,https://static.data.gouv.fr/resources/audiences-mensuelles-thematiques-gouvernement-fr/20160614-150135/thematiques_5_2016.csv,text/csv,557,./data/545119c4c751df23485a81f3_20f91764-c7c3-4f47-bfe0-7bcc9d5f7f14.csv,application/csv,557
fd9f5583-8cb4-4d19-8b3c-ea22aca05d61,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210109-040814/datatourisme.reg-guf.20210109.csv,text/csv,318,./data/5b598be088ee387c0c353714_fd9f5583-8cb4-4d19-8b3c-ea22aca05d61.csv,text/plain,318
2095d176-e48f-4702-a6fa-0e3817d03de1,5e4566a4634f4139c9263d37,https://static.data.gouv.fr/resources/profil-acheteur-26/20200227-154649/data-gouv.csv,text/csv,223,./data/5e4566a4634f4139c9263d37_2095d176-e48f-4702-a6fa-0e3817d03de1.csv,text/plain,223
e1e98181-0f22-425a-95a7-3e18eb9f1592,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201227-040341/datatourisme.reg-glp.20201227.csv,text/csv,318,./data/5b598be088ee387c0c353714_e1e98181-0f22-425a-95a7-3e18eb9f1592.csv,text/plain,318
ac2b77ca-788d-4621-afed-57cb3579c635,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210123-041008/datatourisme.reg-myt.20210123.csv,text/csv,318,./data/5b598be088ee387c0c353714_ac2b77ca-788d-4621-afed-57cb3579c635.csv,text/plain,318
bd887e7b-a65f-4952-9b79-91c202c13150,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210109-042000/datatourisme.reg-reu.20210109.csv,text/csv,318,./data/5b598be088ee387c0c353714_bd887e7b-a65f-4952-9b79-91c202c13150.csv,text/plain,318
dceaa3f6-2b50-4144-bf6e-2a0c2c31b900,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201206-041702/datatourisme.reg-reu.20201206.csv,text/csv,318,./data/5b598be088ee387c0c353714_dceaa3f6-2b50-4144-bf6e-2a0c2c31b900.csv,text/plain,318
8c2d12db-36f1-4c93-b121-265d037ee575,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201228-040844/datatourisme.reg-mtq.20201228.csv,text/csv,318,./data/5b598be088ee387c0c353714_8c2d12db-36f1-4c93-b121-265d037ee575.csv,text/plain,318
0bce1a39-b67a-4daa-b5a3-be69783e3b98,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201226-040559/datatourisme.reg-glp.20201226.csv,text/csv,318,./data/5b598be088ee387c0c353714_0bce1a39-b67a-4daa-b5a3-be69783e3b98.csv,text/plain,318
325d86d4-d101-478c-9004-3e025737d858,5912dd9488ee382457509b60,https://static.data.gouv.fr/resources/budgets-primitifs-2017-de-la-communaute-dagglomeration-bar-le-duc-sud-meuse/20170510-113044/BP_AGGLO_BATIMENT_INDUSTRIEL_2017_MACHINE.csv,text/csv,437,./data/5912dd9488ee382457509b60_325d86d4-d101-478c-9004-3e025737d858.csv,text/plain,437
5a49b88b-fd2c-4408-998f-171d7da06854,596dc10dc751df6cd6bac8f9,https://static.data.gouv.fr/resources/bureaux-de-vote-9/20170718-100527/bureaux-vote.csv,text/csv,558,./data/596dc10dc751df6cd6bac8f9_5a49b88b-fd2c-4408-998f-171d7da06854.csv,application/csv,558
1d95069c-6738-4f9c-ad9f-201c2edc4157,5c249fd28b4c4157d3372261,https://static.data.gouv.fr/resources/declaration-du-profil-acheteur-16/20181227-105537/decp-publication-profil-acheteur-pouilley-francais.csv,text/csv,206,./data/5c249fd28b4c4157d3372261_1d95069c-6738-4f9c-ad9f-201c2edc4157.csv,text/plain,206
4c3a43d7-100f-44f7-af99-2dc196e0b9cd,536998f2a3a729239d2050d7,http://static.data.gouv.fr/14/2bc44504d1cda5aff601ec6ae4cfa0c5f86644675e971240702b532bfd6696.csv,text/csv,329,./data/536998f2a3a729239d2050d7_4c3a43d7-100f-44f7-af99-2dc196e0b9cd.csv,text/plain,329
de94c158-a203-487b-bec8-3ed8390f511d,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210205-040814/datatourisme.reg-guf.20210205.csv,text/csv,318,./data/5b598be088ee387c0c353714_de94c158-a203-487b-bec8-3ed8390f511d.csv,text/plain,318
911c9091-bde4-48da-a770-eefcc1715c9c,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201127-041316/datatourisme.reg-reu.20201127.csv,text/csv,318,./data/5b598be088ee387c0c353714_911c9091-bde4-48da-a770-eefcc1715c9c.csv,text/plain,318
22609503-9e39-48f6-a585-c79a8ffab52d,5d19ca078b4c413a85e0f4ae,https://static.data.gouv.fr/resources/effectifs-scolaires-elementaires-2016-2017-ville-des-lilas/20190701-105334/effectifs-2016-2017-elementaires.csv,text/csv,709,./data/5d19ca078b4c413a85e0f4ae_22609503-9e39-48f6-a585-c79a8ffab52d.csv,text/plain,709
df964090-4e68-43e1-841d-c2559917f807,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201226-041055/datatourisme.reg-myt.20201226.csv,text/csv,318,./data/5b598be088ee387c0c353714_df964090-4e68-43e1-841d-c2559917f807.csv,text/plain,318
371db498-5e9d-436d-807e-2763c0fa4cd0,5d2edfee634f417d7d75e3b6,https://static.data.gouv.fr/resources/donnees-direction-de-la-jeunesse-et-des-sports/20190717-104952/donnees-sports-2017.csv,text/csv,263,./data/5d2edfee634f417d7d75e3b6_371db498-5e9d-436d-807e-2763c0fa4cd0.csv,text/plain,263
d76e8a29-8a7e-4b86-9485-30de539445f7,53699a6ea3a729239d2054b5,http://static.data.gouv.fr/c3/75cd73449f84ad821921014feb1f82fe99dac966895c019483d581496c7905.csv,text/csv,39,./data/53699a6ea3a729239d2054b5_d76e8a29-8a7e-4b86-9485-30de539445f7.csv,text/plain,39
b85f02d3-8fd6-411f-baf0-8f550bea0253,5d2ef28e634f4145e1b9f832,https://static.data.gouv.fr/resources/donnees-direction-de-la-vie-associative-et-economique/20190717-120403/donnees-citoyennete-2017.csv,text/csv,416,./data/5d2ef28e634f4145e1b9f832_b85f02d3-8fd6-411f-baf0-8f550bea0253.csv,text/plain,416
61603f3f-f524-401b-8109-748ed1b7eae2,5895b64988ee3806289b81a4,https://static.data.gouv.fr/resources/expedition-julo/20170204-125839/julo_pollution_lumineuse.csv,text/csv,805,./data/5895b64988ee3806289b81a4_61603f3f-f524-401b-8109-748ed1b7eae2.csv,application/csv,805
71c9bf33-c3dd-43ca-a4ed-64ff9c4e7cc7,5be046fe634f4116c6815f8f,https://static.data.gouv.fr/resources/profil-acheteur-4/20181105-143526/decp.csv,text/csv,333,./data/5be046fe634f4116c6815f8f_71c9bf33-c3dd-43ca-a4ed-64ff9c4e7cc7.csv,text/plain,333
3eadd558-9518-405e-8002-a1baa0c8d1c1,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210106-040720/datatourisme.reg-mtq.20210106.csv,text/csv,318,./data/5b598be088ee387c0c353714_3eadd558-9518-405e-8002-a1baa0c8d1c1.csv,text/plain,318
1e510a1a-f442-4a14-a71e-d1908de7e176,5cc18e178b4c41668b674316,https://static.data.gouv.fr/resources/profil-acheteur-17/20190425-123825/profil-acheteur-pays-mornantais.csv,text/csv,239,./data/5cc18e178b4c41668b674316_1e510a1a-f442-4a14-a71e-d1908de7e176.csv,text/plain,239
e5f317c3-d57f-44c3-969c-651208a7ee01,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210111-041331/datatourisme.reg-myt.20210111.csv,text/csv,318,./data/5b598be088ee387c0c353714_e5f317c3-d57f-44c3-969c-651208a7ee01.csv,text/plain,318
e3d9a9e3-e634-4ae1-9a87-a14efc07c965,5d2ee5bb634f411359522916,https://static.data.gouv.fr/resources/donnees-direction-action-sociale-et-prevention/20190717-110944/donnees-seniors-2017.csv,text/csv,537,./data/5d2ee5bb634f411359522916_e3d9a9e3-e634-4ae1-9a87-a14efc07c965.csv,text/plain,537
