OBJECTID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,AGENCE,CIRCUIT,VOIE,POSITION,COMMUNE,COND_CIRC_HIV,SHAPE__LENGTH,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Length2
445,45 D906031,1,0,4,0,0,635,Montargis,2007-1 Nord,D906031,PR 1+0 à 4+0,Villemandeur,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1132.58461539068
451,45 D0927,2,10,22,600,0,20506,Pithiviers,D1B,D927,PR 2+10 à 22+600,De Pithiviers-le-Vieil à Tivernon,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,32014.7707784531
471,45 D0620,0,0,0,950,0,950,Orléans,2020-1,D620,PR 0+0 à 0+950,Artenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1641.46287023359
433,45 D906093,1,0,4,523,0,1569,Orléans,2060-4,D906093,PR 1+0 à 4+523,Semoy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1989.90821314214
441,45 D995207,1,0,2,262,0,465,Sully,S2,D995207,PR 1+0 à 2+262,Gien,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,724.359415641081
444,45 D0726,0,0,2,363,0,2363,Pithiviers,D1A,D726,PR 0+0 à 2+363,De Pithiviers-le-Vieil à Pithiviers,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3584.44121613043
452,45 D2020,35,700,39,338,23236,27067,Orléans,2020-2,D2020,PR 35+700 à 39+338,De Olivet à Saint-Cyr-en-Val,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8820.79213817535
461,45 D952002,1,0,4,350,0,1300,Orléans,2701-520,D952002,PR 1+0 à 4+350,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1944.73032748548
463,45 D2152,86,900,89,973,74799,77870,Orléans,CD41,D2152,PR 86+900 à 89+973,Tavers,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,5117.25040667718
473,45 D952000,1,0,3,430,0,1125,Orléans,2701-520,D952000,PR 1+0 à 3+430,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1736.35279290079
506,45 D906095,1,0,4,268,0,1134,Orléans,2060-4,D906095,PR 1+0 à 4+268,Fleury-les-Aubrais,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1660.04888784791
507,45 D0162,23,283,24,560,23313,24593,Montargis,2060-1 Est,D162,PR 23+283 à 24+560,Courtenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1921.17973293543
508,45 D900722,4,0,4,195,775,970,Montargis,2060-1 Est,D900722,PR 4+0 à 4+195,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,322.462256873042
512,45 D0975,5,980,15,960,5880,16282,Pithiviers,D1C,D975,PR 5+980 à 15+960,De Juranville à Auxy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,16188.985138877
466,45 D2701,0,0,2,780,0,2826,Orléans,2701-520,D2701,PR 0+0 à 2+780,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8440.17048553806
479,45 D0218,0,0,0,756,0,756,Orléans,2152-3,D218,PR 0+0 à 0+756,Meung-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1124.56772227188
481,45 D2020,48,854,51,732,36466,39352,Orléans,2020-2,D2020,PR 48+854 à 51+732,La Ferté-Saint-Aubin,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,4670.14099563753
489,45 D2152,62,70,86,900,50198,74799,Orléans,2152-3,D2152,PR 62+70 à 86+900,De Saint-Jean-de-la-Ruelle à Tavers,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,40733.2382774557
491,45 D2060,5,0,27,1253,0,23463,Montargis,2060-1 Est,D2060,PR 5+0 à 27+1253,De Saint-Hilaire-les-Andrésis à Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,40780.8182553797
