sexe;nom_de_famille;prénom;groupe_politique;parti_de_rattachement
M.;GOURNAC;Alain;UMP;Union pour un mouvement populaire
Mme;GOY-CHAVENT;Sylvie;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;GRIGNON;Francis;UMP;Union pour un mouvement populaire
M.;GROSDIDIER;François;UMP;Union pour un mouvement populaire
M.;GUENÉ;Charles;UMP;Union pour un mouvement populaire
M.;GUÉRINI;Jean-Noël;SOC;Parti socialiste
M.;GUERRIAU;Joël;UDI-UC;Nouveau centre
M.;GUILLAUME;Didier;SOC;Parti socialiste
M.;HAUT;Claude;SOC;Parti socialiste
M.;HÉRISSON;Pierre;UMP;Union pour un mouvement populaire
M.;HERVÉ;Edmond;SOC;Parti socialiste
Mme;HERVIAUX;Odette;SOC;Parti socialiste
M.;HOUEL;Michel;UMP;Union pour un mouvement populaire
M.;HOUPERT;Alain;UMP;Union pour un mouvement populaire
M.;HUE;Robert;RDSE;Parti radical de gauche
M.;HUMBERT;Jean-François;UMP;Aucun parti
Mme;HUMMEL;Christiane;UMP;Union pour un mouvement populaire
M.;HURÉ;Benoît;UMP;Union pour un mouvement populaire
M.;HUSSON;Jean-François;NI;Le Trèfle - les nouveaux écologistes
M.;HYEST;Jean-Jacques;UMP;Union pour un mouvement populaire
M.;JARLIER;Pierre;UDI-UC;Le Centre pour la France
M.;JEANNEROT;Claude;SOC;Parti socialiste
Mlle;JOISSAINS;Sophie;UMP;Union des radicaux, centristes, indépendants et démocrates (URCID)
Mme;JOUANNO;Chantal;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;KALTENBACH;Philippe;SOC;Parti socialiste
Mme;KAMMERMANN;Christiane;UMP;Union pour un mouvement populaire
M.;KAROUTCHI;Roger;UMP;Union pour un mouvement populaire
Mme;KELLER;Fabienne;UMP;Union pour un mouvement populaire
M.;KERDRAON;Ronan;SOC;Parti socialiste
Mme;KHIARI;Bariza;SOC;Parti socialiste
Mme;KLÈS;Virginie;SOC;Aucun parti
M.;KRATTINGER;Yves;SOC;Parti socialiste
M.;LABAZÉE;Georges;SOC;Parti socialiste
M.;LABBÉ;Joël;ÉCOL.;Europe Écologie Les Verts
Mme;LABORDE;Françoise;RDSE;Parti radical de gauche
M.;LAMÉNIE;Marc;UMP;Union pour un mouvement populaire
Mme;LAMURE;Élisabeth;UMP;Union pour un mouvement populaire
M.;LARCHER;Serge;SOC;Parti progressiste martiniquais
M.;LARCHER;Gérard;UMP;Union pour un mouvement populaire
M.;LASSERRE;Jean-Jacques;UDI-UC;Le Centre pour la France
M.;LAUFOAULU;Robert;UMP;Le Rassemblement
M.;LAURENT;Pierre;CRC;Parti communiste français
M.;LAURENT;Daniel;UMP;Union pour un mouvement populaire
Mme;LAURENT-PERRIGOT;Françoise;SOC;Parti socialiste
M.;LE CAM;Gérard;CRC;Parti communiste français
M.;LE MENN;Jacky;SOC;Parti socialiste
M.;LE SCOUARNEC;Michel;CRC;Parti communiste français
M.;LE VERN;Alain;SOC;Parti socialiste
M.;LECERF;Jean-René;UMP;Union pour un mouvement populaire
M.;LECONTE;Jean-Yves;SOC;Parti socialiste
M.;LEFÈVRE;Antoine;UMP;Union pour un mouvement populaire
M.;LEGENDRE;Jacques;UMP;Union pour un mouvement populaire
M.;LELEUX;Jean-Pierre;UMP;Union pour un mouvement populaire
M.;LENOIR;Jean-Claude;UMP;Union pour un mouvement populaire
Mme;LEPAGE;Claudine;SOC;Parti socialiste
M.;LEROY;Jean-Claude;SOC;Parti socialiste
M.;LEROY;Philippe;UMP;Union pour un mouvement populaire
Mme;LÉTARD;Valérie;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
Mme;LIENEMANN;Marie-Noëlle;SOC;Parti socialiste
Mme;LIPIETZ;Hélène;ÉCOL.;Europe Écologie Les Verts
M.;LONGUET;Gérard;UMP;Union pour un mouvement populaire
M.;LORGEOUX;Jeanny;SOC;Parti socialiste
M.;LORRAIN;Jean-Louis;UMP;Union pour un mouvement populaire
M.;LOZACH;Jean-Jacques;SOC;Parti socialiste
M.;MADEC;Roger;SOC;Parti socialiste
M.;MADRELLE;Philippe;SOC;Parti socialiste
M.;MAGNER;Jacques-Bernard;SOC;Parti socialiste
M.;MAGRAS;Michel;UMP;Union pour un mouvement populaire
M.;MARC;François;SOC;Parti socialiste
M.;MARINI;Philippe;UMP;Union pour un mouvement populaire
M.;MARSEILLE;Hervé;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;MARTIN;Pierre;UMP;Union pour un mouvement populaire
M.;MASSION;Marc;SOC;Parti socialiste
M.;MASSON;Jean Louis;NI;Démocratie et République
M.;MAUREY;Hervé;UDI-UC;Nouveau centre
M.;MAYET;Jean-François;UMP;Union pour un mouvement populaire
M.;MAZARS;Stéphane;RDSE;Parti radical de gauche
M.;MAZUIR;Rachel;SOC;Parti socialiste
Mme;MÉLOT;Colette;UMP;Union pour un mouvement populaire
M.;MERCERON;Jean-Claude;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;MERCIER;Michel;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
Mme;MEUNIER;Michelle;SOC;Parti socialiste
M.;MÉZARD;Jacques;RDSE;Parti radical de gauche
Mme;MICHEL;Danielle;SOC;Parti socialiste
M.;MICHEL;Jean-Pierre;SOC;Parti socialiste
M.;MILON;Alain;UMP;Union pour un mouvement populaire
M.;MIQUEL;Gérard;SOC;Parti socialiste
M.;MIRASSOU;Jean-Jacques;SOC;Parti socialiste
M.;MOHAMED SOILIHI;Thani;SOC;Parti socialiste
Mme;MORIN-DESAILLY;Catherine;UDI-UC;Nouveau centre
M.;NACHBAR;Philippe;UMP;Union pour un mouvement populaire
M.;NAMY;Christian;UDI-UC;Le Centre pour la France
M.;NAVARRO;Robert;SOC;Parti socialiste
M.;NÈGRE;Louis;UMP;Union pour un mouvement populaire
M.;NÉRI;Alain;SOC;Parti socialiste
Mme;NICOUX;Renée;SOC;Parti socialiste
Mme;PASQUET;Isabelle;CRC;Parti communiste français
M.;PASTOR;Jean-Marc;SOC;Parti socialiste
M.;PATIENT;Georges;SOC;Parti socialiste
M.;PATRIAT;François;SOC;Parti socialiste
M.;PAUL;Philippe;UMP;Union pour un mouvement populaire
M.;PERCHERON;Daniel;SOC;Parti socialiste
M.;PEYRONNET;Jean-Claude;SOC;Parti socialiste
M.;PIERRE;Jackie;UMP;Union pour un mouvement populaire
M.;PILLET;François;UMP;Union pour un mouvement populaire
M.;PINTAT;Xavier;UMP;Union pour un mouvement populaire
M.;PINTON;Louis;UMP;Union pour un mouvement populaire
M.;PIRAS;Bernard;SOC;Parti socialiste
M.;PLACÉ;Jean-Vincent;ÉCOL.;Europe Écologie Les Verts
M.;PLANCADE;Jean-Pierre;RDSE;Parti radical de gauche
M.;POINTEREAU;Rémy;UMP;Union pour un mouvement populaire
M.;PONCELET;Christian;UMP;Union pour un mouvement populaire
M.;PONIATOWSKI;Ladislas;UMP;Union pour un mouvement populaire
M.;PORTELLI;Hugues;UMP;Union pour un mouvement populaire
M.;POVINELLI;Roland;SOC;Parti socialiste
M.;POZZO di BORGO;Yves;UDI-UC;Les Indépendants de la France métropolitaine et d'outre-mer
Mme;PRIMAS;Sophie;UMP;Union pour un mouvement populaire
Mme;PRINTZ;Gisèle;SOC;Parti socialiste
Mme;PROCACCIA;Catherine;UMP;Union pour un mouvement populaire
