"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01136","2017","00113617D0006","8","2",,"BATAILLE Lucile et CRANCE Yoann",,"2082","Rue","de Macon",,,"01090","MONTMERLE-SUR-SAONE",,"100","900","Route","de Pont de Veyle",,,"01290","CRUZILLES LES MEPILLAT",,"01800A",,,3,1900,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,34,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2017-09-19","2018-03-03"
"84","01","01138","2018","00113818C0002","2","2",,"COMMUNE - Franck ANDRE-MASSE",,,,"46 Rue de la Mairie",,,"01350","CULOZ",,"100",,,"ZI EN BRACHAY",,,"01350","CULOZ",,"0162AM",,,2,8435,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-04-19",
"84","01","01142","2017","0011421700020","9","2",,"HEXCEL COMPOSITES","41028670200023","ZI",,"La Plaine","BP 27",,"01121","DAGNEUX",,"100","ZI",,"La Plaine","BP 23",,"01121","DAGNEUX",,"0921AH",,,3,80129,,,,,"2",1,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16608,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2017-09-19","2018-04-26"
"84","01","01142","2017","0011421700021","9","2",,"HEXCEL COMPOSITES","41028670200023","ZI",,"La Plaine","BP 27",,"01121","DAGNEUX",,"100","ZI",,"La Plaine",,,"01120","DAGNEUX",,"0921AH",,,3,80129,,,,,"1",0,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16608,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2017-09-19","2018-02-05"
"84","01","01142","2017","0011421700035","1","2",,"SCI ARCADUC","834496838","384","rue","de la Gare",,,"01800","VILLIEU-LOYES-MOLLON",,"100",,"rue","du Carre et rue de Genev",,,"01120","DAGNEUX",,"0134AD",,,2,1003,,,,,"1",0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-03",
"84","01","01150","2017","00115017D0002","8","2","SCI MONNERET",,"81994559300013","51","CHEM","des Meaux Jours",,,"01250","Drom",,"100",,"RTE","des Fours a Chaux",,,"01250","Drom",,"122A","121A",,2,1295,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-04-27",
"84","01","01159","2018","00115918D0007","9","2",,"SCI LUMIERE",,"415","ROUTE","Des Chevres",,,"01570","FEILLENS",,"100","425",,"RUE DE LA LOEZE",,,"01570","FEILLENS",,"27300D",,,1,2624,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01181","2018","00118118H0001","1","2",,"DPH IMMO - SANGUESA Jean-Marc","53376434600011",,,"305 rue de la PRAIRIE - Zo",,,"01100","GROISSIAT",,"100","305",,"RUE DE LA PRAIRIE - ZA SUD",,,"01100","GROISSIAT",,"08570C","08580C",,2,2480,,,,,"1",0,0,0,0,0,0,0,0,0,153,46,0,0,0,0,0,0,0,0,0,0,0,0,0,302,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-05-29",
"84","01","01181","2018","00118118H0002","9","2",,"LUGAND MANAGEMENT","43821531100012",,,"85 RTE DE CHATEAU COVET",,,"01100","GROISSIAT",,"100","85","ROUTE","DE CHATEAU COVET",,,"01100","GROISSIAT",,"04470B","05310B","05300B",2,57994,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10757,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-06-06",
"84","01","01232","2018","00123218D0005","9","2",,"Commune de Marboz representee par Monsieur GESTAS",,"18","Rue","du 19 mars 1962",,,"01851","MARBOZ",,"100","18","Rue","du 19 mars 1962",,,"01851","MARBOZ",,"01360D",,,1,2244,,,,,,0,0,0,0,0,0,0,0,0,776,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-05-31,,
