Année;Tiers;Domaine;Sous-domaine;Type d avantage;Description avantage;Montant des avantages en nature
2015;UNION DE QUARTIER BALADINS GEANTS;-;-;Avantage en nature (locaux / équipements sportifs);30 place des géants;5 173
2015;UNION DE QUARTIER CENTRE GARES;-;-;Avantage en nature (Autre);06 rue du 04 septembre;4 015
2015;UNION DE QUARTIER NOTRE-DAME;-;-;Avantage en nature (Autre);10 rue chenoise;2 780
2015;UNION DE QUARTIER VILLAGE OLYMPIQUE - VIGNY MUSSET;Loisirs et vie sociale;Quartier;Avantage en nature (Autre);03 rue louis lachenal;3 094
2015;UNION DE QUARTIER VILLENEUVE 1;-;-;Avantage en nature (Autre);97 galerie de l'arlequin;2 940
2015;UNION DEPARTEMENTALE UNSA ISERE;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;35 928
2015;UNION DES CLUBS MOTOCYCLISTES GRENOBLOIS;-;-;Avantage en nature (locaux / équipements sportifs);3 rue Moyrand - 24,10 m2 - Secteur 4;1 781
2015;UNION DES CLUBS MOTOCYCLISTES GRENOBLOIS;-;-;Avantages en nature (gratuité des fluides);3 rue Moyrand - 24,10 m2 - Secteur 4;298
2015;UNION DES HABITANTS DU QUARTIER EXPOSITION BAJATIERE;-;-;Avantage en nature (Autre);08 station ponsard;1 760
2015;UNION LOCALE CFDT;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 ave de l'Europe;62 030
2015;UNION LOCALE CFE CGC DE L'ISERE;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;23 702
2015;UNION LOCALE CGT;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;103 208
2015;UNION LOCALE D'INITIATIVES SOLIDAIRES AU SERVICE DE L'EMPLOI-ULISSE;-;-;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;15 587
2015;UNION LOCALE D'INITIATIVES SOLIDAIRES AU SERVICE DE L'EMPLOI-ULISSE;-;-;Avantage en nature (locaux / équipements sportifs);55 avenue Maréchal Randon;5 013
2015;UNION LOCALE DES SYNDICATS FORCE OUVRIERE;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;48 304
2015;UNION LOCALE SYNDICAT CFTC;-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;27 152
2015;UNION NATIONALE AMIS FAMILLES MALADES PSYCHIQUES/SECT. ISERE (UNAFAM);-;-;Avantage en nature (locaux / équipements sportifs);6 BIS RUE BERTHE DE BOISSIEUX - MDA - 30.35m_;2 007
2015;UNION SPORTIVE ABBAYE GRENOBLE;Sports;Football;Avantage en nature (locaux / équipements sportifs);3 rue Marius Riollet - 190m2 - Secteur 5;11 107
2015;UNION SPORTIVE ABBAYE GRENOBLE;Sports;Football;Avantages en nature (gratuité des fluides);3 rue Marius Riollet - plafond - Secteur 5;2 346
2015;UNION SPORTIVE AQUATIQUE DE GRENOBLE - USA;-;-;Avantage en nature (locaux / équipements sportifs);25 rue Anatole France - 2 Lys Rouge - 46 m2 - Secteur 3;2 892
2015;UNION SPORTIVE AQUATIQUE DE GRENOBLE - USA;-;-;Avantages en nature (gratuité des fluides);25 rue Anatole France - 2 Lys Rouge - 46 m2 - Secteur 3;568
2015;UNIS-CITE RHONE ALPES/ANTENNE DE GRENOBLE;Action Sociale;Divers;Avantage en nature (locaux / équipements sportifs);2 rue François Raoult (16 agutte sembat);3 140
2015;USVO FOOTBALL - UNITE SPORTIVE VILLAGE OLYMPIQUE GRENOBLE;Sports;Football;Avantage en nature (locaux / équipements sportifs);7 rue Henri Duhamel - 91m2 - Secteur 6;4 417
2015;UTOPIA;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;46 578
2015;VIE LIBRE  - SECTION GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);6 BIS RUE BERTHE DE BOISSIEUX - MDA - 10.75m_;711
2015;ZONE VERTE;-;-;Avantage en nature (Autre);16 rue paul cocat;708
