objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
4152,90048,FONTENELLE,2020/07/21 00:00:00+00,ilot parcellaire,117926.52235,1729.22855543483
4153,90048,FONTENELLE,2020/07/21 00:00:00+00,ilot parcellaire,624.09245,112.696830063704
4154,90048,FONTENELLE,2020/07/21 00:00:00+00,ilot parcellaire,148.31665,82.5550370407773
4537,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,258308.0675,2892.86623363594
4538,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,1242364.01909368,7132.24389750798
4539,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,688.9544,120.013077503119
4540,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,25591.3972,1100.50755268753
4541,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,115140.9829,2129.93792140569
4542,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,2604.04835,209.728865509734
4543,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,52888.5986,1664.35463707945
4544,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,1970.5544,228.447634573151
4545,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,25723.59965,765.884978585157
4546,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,1528.6884,158.152407061994
4547,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,64164.71035,1506.45248339236
4548,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,26637.0404,1548.59950835576
4549,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,316869.0017,2771.75568825549
4550,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,10309.62078688,686.204666077083
4551,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,1984.6994,200.628717015506
4552,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,56989.60325,1418.23172463394
4553,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,841793.358179195,8138.74806798616
4554,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,8028.72689957,1062.2851704765
4555,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,768.8439,129.572009243488
4556,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,115365.4249,1568.09377161748
4557,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,572.84955,116.490385115577
4558,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,462615.79364865,5589.46546700139
4559,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,177738.585893205,3343.60639462373
4560,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,57632.15770742,1364.52863764025
4561,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,45373.1643,1046.18726717905
4562,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,398805.372324775,6386.66149910448
4563,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,10477.55485,478.601897907975
4564,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,103359.22237993,1671.93076857303
4565,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,11136.39865,507.780541110173
4566,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,33490.4651,1057.02558460988
4567,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,25317.810568,753.201357383777
4568,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,13572.73705,569.966335120577
4569,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,18243.0146,579.033783291502
4570,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,23235.0209,1170.97386893072
4571,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,15039.816068955,1029.55199291921
4572,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,26099.6788,1007.8083307413
4573,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,110125.01114635,1460.84551221388
4574,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,88792.54033498,1346.32102222872
4575,90049,FOUSSEMAGNE,2020/07/24 00:00:00+00,ilot parcellaire,350.45722311,77.6160483660904
4576,90050,FRAIS,2020/08/17 00:00:00+00,ilot parcellaire,71436.26905,1278.03613444061
4577,90050,FRAIS,2020/08/17 00:00:00+00,ilot parcellaire,1122015.37240159,5647.32395807819
4578,90050,FRAIS,2020/08/17 00:00:00+00,ilot parcellaire,171359.4867,2272.05771810335
4579,90050,FRAIS,2020/08/17 00:00:00+00,ilot parcellaire,128759.44825,2774.17188989904
