INSEE;TYPEINF;CARACT;LIBELLE;URLFIC;IDURBA;ID_NCA;TXT;NOMFIC;geometry
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;161;3,02;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18054175, 43.65537672], [7.1805063, 43.65536804]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;162;26,23;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.17962043, 43.65555725], [7.17975168, 43.65577313]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;163;33,87;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18009657, 43.65571427], [7.18026506, 43.6559934]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;151;17,46;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18539666, 43.65751436], [7.18542667, 43.65735876]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;164;32,5;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18021344, 43.65660655], [7.18060876, 43.65666252]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;165;1,8;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18048977, 43.65546406], [7.18051088, 43.65546929]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;166;12,44;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18416743, 43.6573985], [7.18418929, 43.65728766]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;167;12,85;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18430548, 43.6575467], [7.18435627, 43.65743711]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;168;6,56;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18446063, 43.65729664], [7.1845255, 43.65726103]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;169;6;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18051606, 43.65518894], [7.18049232, 43.65524007]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;170;18,65;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18449605, 43.65759292], [7.18457009, 43.65743397]]}
