CANDIDATS,REMPLACANTS,PARTIS,VOIX OBTENUES 1er tour,VOIX OBTENUES 2d tour,% DE VOIX OBTENUES 1er tour,% DE VOIX OBTENUES 2d tour,canton,participation
Pierre AUGEY Christine BORONAT,José DEPAZ Anne-Marie DESCOT,Front de Gauche,3095,, 20.01%,,Sud-Gironde,58.80 %
,,,,,,,,
Marie Jeanne FARCY Jean TOUZEAU,Marie-Thérèse MOREL Frédéric DUPIC,Parti Socialiste,4896,7060, 43.75%,65.97% ,Lormont,46.63 %
,,,,,,,,
Sandrine BOUTARICQ Jérôme OSCISLAWSKI,Aurélie NADAL Pierre BARBE,Union de la Droite,2312,, 20.66%,,Lormont,46.63 %
,,,,,,,,
Maud BESSON Jean-Claude FEUGAS,Josyane MAESTRO Eric LEROY,Front de Gauche,1084,, 9.69%,,Lormont,46.63 %
,,,,,,,,
Claudine FILLION Ange RONZETTI,Fabienne FEYNAUD Bernard MANSENCAL,Front National,2900,3642, 25.91%,34.03% ,Lormont,46.63 %
,,,,,,,,
Gérard AYNIÉ Evelyne BEGARDS,Olivier SALLE Josiane BORDAS-ALVAREZ,Front de Gauche,995,, 7.70%,,Le Bouscat,48.27 % 
,,,,,,,,
Jocelyne CATINEAU Francis SANTA-CRUZ,Anne GAUTIER Marc FRANCHINI,Front National,2221,, 17.19%,,Le Bouscat,48.27 % 
,,,,,,,,
Guillaume BOURROUILH-PARÈGE Anne-Céline POUGET-ROCHARD,Jean-Bernaard MARCERON Claire LAYAN,Union de la Gauche,3719,4611, 28.78%,39.06% ,Le Bouscat,48.27 % 
,,,,,,,,
Fabienne DUMAS Dominique VINCENT,Emmanuelle PETIT CHOTARD Gwenaël LAMARQUE,Union de la Droite,5987,7193, 46.33%,60.94% ,Le Bouscat,48.27 % 
,,,,,,,,
Françoise PATISSOU Jean-Louis PULON,Alison LHERITIER Jean-Jacques MOINAUD,Front National,2899,, 15.83%,,Saint-Médard-en-Jalles,55.79 %
,,,,,,,,
Yannick BRETAGNE Christine MOEBS,Marc MORISSET Joëlle REYNAUD,Europe-Ecologie-Les Verts,1463,, 7 99%,,Saint-Médard-en-Jalles,55.79 %
,,,,,,,,
Jean-Luc TRICHARD Stephan TROUILLET,Charles ELEGBEDE Emmanuelle COUSIN,Parti Socialiste,4910,6793, 26.81%,40.22% ,Saint-Médard-en-Jalles,55.79 %
,,,,,,,,
Liliane DUCOURRET Robert QUARANTA,Maryléne FAURE Francis ROYER,Front de Gauche,929,, 5.07%,,Saint-Médard-en-Jalles,55.79 %
,,,,,,,,
Jacques MANGON Agnès VERSEPUY,Samuel HERCEK Catherine THIBAUDEAU,Union de la Droite,8110,10097, 44.29%,59.78% ,Saint-Médard-en-Jalles,55.79 %
,,,,,,,,
Rémi COCUELLE Denise FUMAT,Christophe VAQUEZ Patricia MALLARD,Union de la Droite,4014,6304, 27.57%,47.46% ,Mérignac-2,47.28 %
,,,,,,,,
Jean-Luc AUPETIT Annie MARTINET,Michel PEREZ Patricia BERRIO,Front National,2899,, 19.91%,,Mérignac-2,47.28 %
,,,,,,,,
Panthéa KIAN Gérard MESNIS,Claudine BART Christian REINKINGEN,Divers gauche,177,, 1.22%,,Mérignac-2,47.28 %
,,,,,,,,
Jean-Michel AUDY Lena BEAULIEU,Benoît TOURNE Claude MELLIER,Front de Gauche,774,, 5.32%,,Mérignac-2,47.28 %
,,,,,,,,
Sylvie CASSOU-SCHOTTE Gérard CHAUSSET,Danielle NEVEU Jean-Louis COURONNEAU,Europe-Ecologie-Les Verts,1721,, 11.82%,,Mérignac-2,47.28 %
,,,,,,,,
Arnaud ARFEUILLE Cécile SAINT MARC,Alessandro DI SOMMA Emilia NOAH,Union de la Gauche,4642,6978, 31.88%,52.24% ,Mérignac-2,47.28 %
,,,,,,,,
Bernard GONZALEZ Sandrine PENY,Laurent DESPLAT Julia TEMBLO,Debout la France,333,, 2.29%,,Mérignac-2,47.28 %
,,,,,,,,
Marie-Ange CHAUSSOY Bernard SARLANDIE,Erika VASQUEZ Joël GIRARD,Front de Gauche,958,, 6.58%,,Mérignac-1,47.26 % 
,,,,,,,,
Emmanuelle HEMAR Patrick LOUIS,Catherine BOUBIH Stéphane GODMER,Front National,2688,, 18.46%,,Mérignac-1,47.26 % 
,,,,,,,,
Alain CHARRIER Carole GUERE,Lionel AZOUGALHI Emilie MARCHES,Union de la Gauche,5068,7135, 34.81%,53.28% ,Mérignac-1,47.26 % 
,,,,,,,,
Jean-Marc MEYRE Christine PEYRÉ,Bruno MARNE Catherine TARMO,Union de la Droite,4360,6256, 29.95%,46.72% ,Mérignac-1,47.26 % 
,,,,,,,,
Anne COUPLAN Jean-Claude PRADELS,Julie KERVENNIC Ludovic GUITTON,Europe-Ecologie-Les Verts,1485,, 10.20%,,Mérignac-1,47.26 % 
,,,,,,,,
Olivier CAZAUX Gaëlle MOUNIER,Alain SALLELES Valérie DUCHAILLUT,Europe-Ecologie-Les Verts,1400,, 14.84%,,Bordeaux-5,37.02 %
,,,,,,,,
Cécile MIGLIORE Jérôme SIRI,Chantal FRATTI Frédéric DECLOSSE,Union de la Droite,2521,4132, 26.73%,40.20% ,Bordeaux-5,37.02 %
,,,,,,,,
Pascal CHAUVET Chantal MURE,Sehmehmet SOYSUREN Marie-Agnès SERRES-CANY,Divers gauche,116,, 1.23%,,Bordeaux-5,37.02 %
,,,,,,,,
Stéphanie CHAIGNEAU Jacques COLOMBIER,Laurence THEVENOT Jean-Marc JOANNY,Front National,1245,, 13.20%,,Bordeaux-5,37.02 %
,,,,,,,,
Loïc BOISSON Brigitte LOPEZ,Alban CAVIGNAC Anne DRUAIS,Front de Gauche,914,, 9.69%,,Bordeaux-5,37.02 %
,,,,,,,,
Emmanuelle AJON Jacques RESPAUD,Anne GROUSSIN Sofiane KHERARFA,Parti Socialiste,3236,6147, 34.31%,59.80% ,Bordeaux-5,37.02 %
,,,,,,,,
Anne-Marie GUICHAOUA BEUCLER Sébastien LORIAN,Marie-José HENRIOUX Ludovic TARIS,Front de Gauche,808,, 5.57%,,Bordeaux-3,45.96 %
,,,,,,,,
