Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;20/06/2016;09H00;12H00;SOCIAL;REUNION;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;20/06/2016;09H00;13H00;ORGANISME PUBLIC;COURS;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;10H00;12H00;SPECTACLE VIVANT;COURS;LA COMPAGNIE DE L'INVENT'ERE
NICE-EST SAINT ROCH;20/06/2016;14H00;17H00;THEATRE;COURS;POIVRE ET SEL
NICE-EST SAINT ROCH;20/06/2016;14H00;16H00;SANTE;PERMANENCE;ORL VIE NOUVELLE
NICE-EST SAINT ROCH;20/06/2016;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;20/06/2016;16H00;19H00;CULTURE;REUNION;CEPPI - CENTRE D'ETUDES PARAPSYCHOLOGIQUES ET DES PHENOMENES INEXPLIQUES
NICE-EST SAINT ROCH;20/06/2016;17H00;18H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;20/06/2016;18H00;21H00;DANSE ;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;20/06/2016;18H00;19H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
NICE-EST SAINT ROCH;20/06/2016;18H00;20H00;COURS DE LANGUE;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;20/06/2016;19H00;21H00;DANSE ;COURS;TRINITE COUNTRY
NICE-EST SAINT ROCH;20/06/2016;19H00;21H00;ENSEIGNEMENT;COURS;PRM - PREVENIR REAGIR MAITRISER
NICE-EST SAINT ROCH;21/06/2016;09H00;12H00;ECONOMIE;COURS;AXPERIENCE
