"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","38","38140","2019","0381401910012","32","2",,"SCCV SOLIZA",,"22","RUE","JOSEPH CUGNOT",,,"38300","BOURGOIN JALLIEU",,"100",,"RUE","general de gaulle","zac ecoquartier",,"38190","CROLLES",,"388pAR",,,2,0,,,,0,0,0,0,0,0,0,0,23,23,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1705,0,0,0,"7",2019-08-31,"2019-07-08",
"84","38","38162","2019","0381621910003","32","2",,"SCI ACE","83124976800019","121",,"Allee Louis Aragon",,,"38110","LA TOUR DU PIN",,"100",,,"CLOSEL ET CLARITIERE",,,"38110","FAVERGES DE LA TOUR",,"1930C","1926C",,2,978,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,204,93,0,0,0,"7",2019-08-31,"2019-07-31",
"84","38","38176","2019","0381761910003","10","2",,,,"245","Route","Anglancier",,,"38290","FRONTONAS",,"100",,,"Hameau de Corbeyssieu",,,"38290","FRONTONAS",,"05710C","05720C","05770C",2,1820,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,222,0,0,0,"5",2019-08-31,"2019-08-19",
"84","38","38185","2019","03818519U1043","31","2",,"VINCI IMMOBILIER RHONE ALPES AUVERGNE",,"3","rue","Paul Cezanne",,,"74000","ANNECY",,"100","29","rue","Jean Mace",,,,"GRENOBLE",,"0019AK",,,2,885,,,,0,7,11,5,0,0,0,23,0,23,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,203,1547,0,203,0,"12",2019-08-31,"2019-08-21",
"84","38","38185","2019","03818519U1066","90","2",,,,"81","rue","Leon Blum",,,"38100","GRENOBLE",,"100","37","rue","Prosper Merimee",,,,"GRENOBLE",,"0040EL",,,1,878,,,,0,4,0,0,0,0,0,0,4,4,"1",,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,147,0,0,"10",2019-08-31,,
"84","38","38185","2019","03818519U1067","90","2",,,,"36","rue","des Vingt Toises",,,"38950","Saint-Martin Le Vinoux",,"100","40","avenu","Jules Valles",,,,"GRENOBLE",,"0087CZ",,,1,931,,,,0,2,2,2,1,0,0,7,0,7,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,107,586,0,0,0,"7",2019-08-31,,
"84","38","38185","2019","03818519U1069","90","2",,,,"7","rue","Fantin Latour","CS 41096",,"38022","GRENOBLE",,"100",,"avenu","de la Bruyere",,,,"GRENOBLE",,"0060ES","0062ES","0063ES",1,98898,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,385,0,0,0,"4",2019-08-31,,
"84","38","38185","2019","03818519U1070","90","2",,,,"25","avenu","de Constantine","CS 72508",,"38035","GRENOBLE","2","100","1","rue","Roger Ronserail",,,,"GRENOBLE",,"0098HS",,,1,1027,,,,0,4,4,4,0,0,0,12,0,12,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,797,0,0,0,"14",2019-08-31,,
"84","38","38191","2019","0381911920010","90","2",,"SEMCODA","75920075100130","50","Rue","du Pavillon","cs 91007",,"01000","BOURG EN BRESSE",,"100",,,"Route d'Huez - D211","Les Ponsonnieres",,"38750","HUEZ",,"0041AD","0612AD","0611AD",1,18602,,,,0,12,33,13,0,0,0,0,58,58,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,3735,4488,0,0,0,"7",2019-08-31,,
"84","38","38193","2019","0381931910016","32","2",,,,"88","rue","de la Liberation",,,"38300","BOURGOIN-JALLIEU",,"100",,"impas","des Thermes","lotissement ""Les Jardins de Saint-Germ",,"38080","L'ISLE D'ABEAU",,"0292DW",,,2,644,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,98,0,0,0,"5",2019-08-31,"2019-08-13",
