Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
CASTRES-GIRONDE GIE,S0302,CASTRES-GIRONDE GIE S0302,46 Rue du Président Carnot 33640 Castres-Gironde,88157,06 Performance de collectivité,,16/06/2000,propriétaire,44.69619,-0.442705
LANGON AS,S1613,LANGON AS S1613,,784959,08 Solidarité autonomie et santé,,19/01/2005,locataire,,
GREZILLAC CRD-AIRE,S1592,GREZILLAC CRD-AIRE S1592,Chemin Neuf 33420 Grézillac,774145,05 Mobilité,,30/03/2004,locataire,44.828678,-0.194726
LACANAU CDL VIRE-VIEILLE,S0637,LACANAU CDL VIRE-VIEILLE S0637,Les As 33680 Lacanau,97409,07 Protection valorisation environnement,,09/02/2001,locataire,45.000428,-1.183289
GUJAN-MESTRAS PORT LARROS,S0790,GUJAN-MESTRAS PORT LARROS S0790,Golf de Gujan Mestras 33470 Gujan-Mestras,97543,05 Mobilité,,20/04/2001,propriétaire,44.603579,-1.092333
CARCANS DFCI,S0749,CARCANS DFCI S0749,2 Route de Hourtin 33121 Carcans,97509,07 Protection valorisation environnement,,10/04/2001,propriétaire,45.07992,-1.046017
MONSEGUR GIE,S0266,MONSEGUR GIE S0266,1 Rue de l'Hôpital 33580 Monségur,87997,06 Performance de collectivité,,16/06/2000,propriétaire,44.651115,0.083326
LUGOS ENS BRAN-ET-MARTINET,S1641,LUGOS ENS BRAN-ET-MARTINET S1641,Brana 33830 Lugos,801454,07 Protection valorisation environnement,,23/09/2005,propriétaire,44.479667,-0.870562
BRAUD-ET-ST-LOUIS CONDUITE-EAU-BLAYAIS,S0800,BRAUD-ET-ST-LOUIS CONDUITE-EAU-BLAYAIS S0800,Peynaud 33820 Braud-et-Saint-Louis,97562,05 Mobilité,,22/05/2001,locataire,45.248983,-0.620343
LIBOURNE EX-MDSI,S0191,LIBOURNE EX-MDSI S0191,7 Avenue du Maréchal Foch 33500 Libourne,87202,06 Performance de collectivité,,16/06/2000,propriétaire,44.919947,-0.24211
LA-SAUVE CRD-AIRE,S0242,LA-SAUVE CRD-AIRE S0242,Peyrat 33670 La Sauve,88120,05 Mobilité,,16/06/2000,propriétaire,44.77383,-0.302565
BORDEAUX ESPE CAUDERAN,S0602,BORDEAUX ESPE CAUDERAN S0602,49 Rue de l'École Normale 33200 Bordeaux,88476,03 Collège et éducation,,27/10/2000,propriétaire,44.847886,-0.602119
LANTON PORT TAUSSAT,S0774,LANTON PORT TAUSSAT S0774,BLAGON 33138 Lanton,97549,05 Mobilité,,20/04/2001,propriétaire,44.784522,-0.934588
CAPTIEUX ETAT,S1767,CAPTIEUX ETAT S1767,Route de Giscos 33840 Captieux,1243527,06 Performance de collectivité,,30/11/2011,propriétaire,44.292348,-0.251127
COMPS CRD-AIRE,S1716,COMPS CRD-AIRE S1716,,1007395,05 Mobilité,,15/05/2009,propriétaire,,
BORDEAUX CLG GRAND-PARC,S0049,BORDEAUX CLG GRAND-PARC S0049,25 Rue Pierre Trebod 33300 Bordeaux,87147,03 Collège et éducation,,16/06/2000,propriétaire,44.856224,-0.583442
BORDEAUX ALLIANZ,S0531,BORDEAUX ALLIANZ S0531,,88049,06 Performance de collectivité,,16/06/2000,locataire,,
BORDEAUX MDSANTE JULES-FERRY,S0101,BORDEAUX MDSANTE JULES-FERRY S0101,84 Rue Jules Ferry 33200 Bordeaux,88039,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.842434,-0.604591
BLASIMON CRD-AIRE,S1775,BLASIMON CRD-AIRE S1775,3 Monjat 33540 Blasimon,1262261,05 Mobilité,,19/07/2012,locataire,44.734935,-0.068628
BORDEAUX CLG JACQUES-ELLUL,S0233,BORDEAUX CLG JACQUES-ELLUL S0233,,87223,03 Collège et éducation,,16/06/2000,propriétaire,,
LAPOUYADE CRD-AIRE,S1695,LAPOUYADE CRD-AIRE S1695,Lamet 33620 Lapouyade,989057,05 Mobilité,,09/09/2008,propriétaire,45.080748,-0.284403
ST-VIVIEN-DE-MEDOC PORT LA-CANAU-DEU-GUA,S0771,ST-VIVIEN-DE-MEDOC PORT LA-CANAU-DEU-GUA S0771,Saint-Vivien-de-Médoc,97555,05 Mobilité,,20/04/2001,propriétaire,45.429637,-1.036538
BORDEAUX CLG LA-BENATTE,S0342,BORDEAUX CLG LA-BENATTE S0342,51 Rue de la Benatte 33000 Bordeaux,87253,03 Collège et éducation,,16/06/2000,propriétaire,44.844365,-0.593844
BORDEAUX CLG ST-ANDRÉ,S0092,BORDEAUX CLG ST-ANDRÉ S0092,,87162,03 Collège et éducation,,16/06/2000,propriétaire,,
LA-TESTE-DE-BUCH CRD-CE,S0626,LA-TESTE-DE-BUCH CRD-CE S0626,Avenue du Général de Gaulle 33260 La Teste-de-Buch,88468,05 Mobilité,,27/10/2000,locataire,44.640581,-1.192885
