Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
BORDEAUX CROIX-DU-PALAIS,S0530,BORDEAUX CROIX-DU-PALAIS S0530,1 Rue Corps Franc Pommies 33000 Bordeaux,88051,06 Performance de collectivité,,16/06/2000,propriétaire,44.837279,-0.586859
BIGANOS GIE,S0122,BIGANOS GIE S0122,,88145,06 Performance de collectivité,,16/06/2000,propriétaire,,
CREON CRD-CE,S1764,CREON CRD-CE S1764,Rue de Trotte Chèvre 33670 Créon,1242371,05 Mobilité,,06/10/2011,locataire,44.781164,-0.349197
LORMONT PERM,S1702,LORMONT PERM S1702,,994803,08 Solidarité autonomie et santé,,12/12/2008,locataire,,
LACANAU CLG,S1714,LACANAU CLG S1714,Allée du Collège 33680 Lacanau,1003956,03 Collège et éducation,,02/04/2009,propriétaire,44.986616,-1.089166
EYSINES CLG ALBERT-CAMUS,S0041,EYSINES CLG ALBERT-CAMUS S0041,3 Rue Lucien Piet 33320 Eysines,87144,03 Collège et éducation,,16/06/2000,propriétaire,44.884648,-0.644176
PESSAC CLG GÉRARD-PHILIPE,S0104,PESSAC CLG GÉRARD-PHILIPE S0104,67 Avenue de Gradignan 33600 Pessac,87168,03 Collège et éducation,,16/06/2000,propriétaire,44.798487,-0.623287
ARVEYRES CLG JEAN-AURIAC,S0192,ARVEYRES CLG JEAN-AURIAC S0192,4 Rue de Peytot 33500 Arveyres,87203,03 Collège et éducation,,16/06/2000,propriétaire,44.883674,-0.284971
PELLEGRUE GIE,S0268,PELLEGRUE GIE S0268,16 Route de Duras 33790 Pellegrue,87999,06 Performance de collectivité,,16/06/2000,propriétaire,44.742309,0.078555
SAUVETERRE-DE-GUYENNE GIE,S0275,SAUVETERRE-DE-GUYENNE GIE S0275,5 Rue du Huit Mai 1945 33540 Sauveterre-de-Guyenne,88013,06 Performance de collectivité,,16/06/2000,propriétaire,44.692185,-0.084534
LIBOURNE GARE ROUTIERE,S0199,LIBOURNE GARE ROUTIERE S0199,9002 Avenue Gallieni 33500 Libourne,88072,05 Mobilité,,16/06/2000,propriétaire,44.91524,-0.237376
HOURTIN CLG JULES-CHAMBRELENT,S1776,HOURTIN CLG JULES-CHAMBRELENT S1776,11 Rue de la Bouaille 33990 Hourtin,1262528,03 Collège et éducation,,16/10/2012,propriétaire,45.190533,-1.057988
BLANQUEFORT HANGAR-DE-STOCKAGE,S1814,BLANQUEFORT HANGAR-DE-STOCKAGE S1814,Rue Antoine de Saint-Exupéry 33290 Blanquefort,1379392,06 Performance de collectivité,,29/02/2016,locataire,44.922914,-0.607251
AMBES DIGUE,S1516,AMBES DIGUE S1516,Larue 33810 Ambès,624690,05 Mobilité,,09/09/2002,propriétaire,45.004799,-0.516888
ANGLADE ENS MARAIS-DE-LA-VERGNE,S0736,ANGLADE ENS MARAIS-DE-LA-VERGNE S0736,Le Pin 33390 Anglade,97451,07 Protection valorisation environnement,,12/02/2001,propriétaire,45.208455,-0.615775
MONSEGUR CLG ELEONORE-DE-PROVENCE,S1584,MONSEGUR CLG ELEONORE-DE-PROVENCE S1584,Le Stade 33580 Monségur,773722,03 Collège et éducation,,18/02/2004,propriétaire,44.64842,0.072005
LA-TESTE-DE-BUCH PORT CENTRE,S0786,LA-TESTE-DE-BUCH PORT CENTRE S0786,Avenue des Pêcheurs 33260 La Teste-de-Buch,97538,05 Mobilité,,20/04/2001,propriétaire,44.642468,-1.14579
TALENCE POLE-SOLIDARITE,S0344,TALENCE POLE-SOLIDARITE S0344,,7945,08 Solidarité autonomie et santé,,25/06/1999,propriétaire,,
GUJAN-MESTRAS ENS PRES-SALES,S0724,GUJAN-MESTRAS ENS PRES-SALES S0724,,97402,07 Protection valorisation environnement,,09/02/2001,propriétaire,,
LE-BOUSCAT MDVAS,S0598,LE-BOUSCAT MDVAS S0598,59 Avenue d'Eysines 33110 Le Bouscat,97355,02 Cohésion vie sociale et épanouissement,,22/11/2000,propriétaire,44.853807,-0.596394
GUJAN-MESTRAS PORT LA-HUME,S0791,GUJAN-MESTRAS PORT LA-HUME S0791,Quai Port de la Hume 33470 Gujan-Mestras,97540,05 Mobilité,,20/04/2001,propriétaire,44.641892,-1.116527
BORDEAUX CLG EMILE-COMBES,S0096,BORDEAUX CLG EMILE-COMBES S0096,76 Rue Émile Combes 33000 Bordeaux,87164,03 Collège et éducation,,16/06/2000,propriétaire,44.834802,-0.609937
BEGLES MDSI,S0226,BEGLES MDSI S0226,13 Rue du Maréchal Joffre 33130 Bègles,87219,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.806365,-0.549735
LEOGNAN GIE,S0303,LEOGNAN GIE S0303,9 Avenue de Bordeaux 33850 Léognan,87991,06 Performance de collectivité,,16/06/2000,propriétaire,44.735056,-0.599433
ST-SAVIN-DE-BLAYE GIE,S0180,ST-SAVIN-DE-BLAYE GIE S0180,21 Rue Alphonse Micheau 33920 Saint-Savin,88008,06 Performance de collectivité,,16/06/2000,propriétaire,45.139055,-0.453871
ARVEYRES CRD-CE,S0198,ARVEYRES CRD-CE S0198,5 Avenue du Général de Gaulle 33500 Arveyres,88125,05 Mobilité,,16/06/2000,locataire,44.913551,-0.251505
BRANNE GIE,S0251,BRANNE GIE S0251,32 Rue Fort Bayard 33420 Branne,88151,06 Performance de collectivité,,16/06/2000,propriétaire,44.827358,-0.184561
LANGON CRD-SIEGE,S0606,LANGON CRD-SIEGE S0606,110 Cours de Verdun 33210 Langon,88470,05 Mobilité,,27/10/2000,propriétaire,44.552973,-0.261131
LE-BOUSCAT PERM,S1798,LE-BOUSCAT PERM S1798,8 Rue Condorcet 33110 Le Bouscat,1363826,08 Solidarité autonomie et santé,,16/10/2014,locataire,44.869085,-0.578289
