objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
196,90042,Evette Salbert,1970/01/01 00:00:00+00, ,98636.42780184,1993.67954877744
197,90010,Belfort,1970/01/01 00:00:00+00, ,6664051.16714032,16997.7588765392
198,90069,Méziré,1970/01/01 00:00:00+00, ,47605.276083645,989.197163659606
199,90001,Andelnans,1970/01/01 00:00:00+00, ,200118.522680185,2889.10121815303
200,90008,Bavilliers,1970/01/01 00:00:00+00, ,313390.934450085,5040.49709113436
201,90037,Eloie,1970/01/01 00:00:00+00, ,492100.86428067,13836.6787896394
202,90039,Essert,1970/01/01 00:00:00+00, ,1412288.27558168,11512.3941202044
203,90103,Vétrigne,1970/01/01 00:00:00+00, ,331045.97990763,7813.13461790801
204,90068,Meroux,1970/01/01 00:00:00+00, ,586443.86964427,8462.93498282886
205,90094,Sevenans,1970/01/01 00:00:00+00, ,356326.014418575,6829.60751779557
206,90075,Offemont,1970/01/01 00:00:00+00, ,1520725.66844543,13562.444689205
207,90017,Bourogne,1970/01/01 00:00:00+00, ,11426.653602215,793.608479751842
208,90097,Trévenans,1970/01/01 00:00:00+00, ,1625727.09225288,15276.229116453
209,90011,BERMONT,2014/12/17 00:00:00+00, ,215825.656250535,3424.4487595303
210,90072,Morvillars,1970/01/01 00:00:00+00, ,697884.1709153,11305.2536779033
211,90069,Méziré,1970/01/01 00:00:00+00, ,629057.555751215,11174.4078369933
212,90104,VEZELOIS,1970/01/01 00:00:00+00, ,4172.5089022,298.083459947473
213,90104,VEZELOIS,1970/01/01 00:00:00+00, ,4554.98511143,300.48919664784
214,0, ,1970/01/01 00:00:00+00, ,198062.63300525,2423.96487219685
