FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
253,256,37203,Rochecorbon,ROCHECORBON,GASTON HUET - VOUVRAY,0371189S,COLLÈGE GASTON HUET,VAUCANSON - TOURS,037VAUC,25.1600799602,37191.1525552934,16.8301347912
254,257,37273,La Ville-aux-Dames,LA VILLE AUX DAMES,PABLO NÉRUDA - SAINT-PIERRE-DES-CORPS,0370767H,COLLÈGE PABLO NÉRUDA,P.L. COURIER - TOURS,037PLC,14.0142760099,20702.4888130323,7.9781411869
255,258,37124,Larçay,LARCAY,PHILIPPE DE COMMYNES - TOURS,0371209N,COLLÈGE PHILIPPE DE COMMYNES,P.L. COURIER - TOURS,037PLC,16.2447810443,23985.7936067325,11.3689729285
256,259,37179,Parçay-Meslay,PARCAY MESLAY,GASTON HUET - VOUVRAY,0371189S,COLLÈGE GASTON HUET,VAUCANSON - TOURS,037VAUC,20.5207490998,30344.5526089274,14.2007622155
257,263,37018,Ballan-Miré,BALLAN MIRE,RENÉ CASSIN - BALLAN-MIRÉ,0371403Z,COLLÈGE RENÉ CASSIN,MONNET - JOUÉ-LÈS-TOURS,037JLT,26.817472455,39570.2839043397,26.3480746052
258,265,37050,Chambray-lès-Tours,CHAMBRAY LES TOURS,JEAN-PHILIPPE RAMEAU - TOURS,0370886M,COLLÈGE JEAN-PHILIPPE RAMEAU,GRANDMONT - TOURS,037GRAN,23.7464632486,35031.5135828794,19.4603856361
259,268,37156,Montlouis-sur-Loire,MONTLOUIS SUR LOIRE,RAOUL REBOUT - MONTLOUIS-SUR-LOIRE,0370799T,COLLÈGE RAOUL REBOUT,VINCI - AMBOISE,037AMBO,24.8322797726,36651.9068826115,24.5575096606
260,269,37266,Veigné,VEIGNE,ALBERT CAMUS - MONTBAZON,0370793L,COLLÈGE ALBERT CAMUS,MONNET - JOUÉ-LÈS-TOURS,037JLT,37.3387885957,55038.8342097133,27.0094066671
261,272,37254,Tauxigny-Saint-Bauld,TAUXIGNY SAINT BAULD,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,38.2718320006,56331.1924905141,41.17589913
262,97,41007,Authon,AUTHON,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,HORS DEPARTEMENT (RONSARD - VENDOME,041VEN1,33.3759858567,49521.5476267507,32.3287701226
263,0,37264,Vallères,VALLERES,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,16.6126772068,24493.2071081488,13.0804606405
264,89,37233,Saint-Pierre-des-Corps,SAINT PIERRE DES CORPS,PABLO NÉRUDA - SAINT-PIERRE-DES-CORPS,0370767H,COLLÈGE PABLO NÉRUDA,P.L. COURIER - TOURS,037PLC,15.1984791309,22553.6074705298,6.08656669659
265,0,37060,Chargé,CHARGE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,14.0498338527,20747.9241608148,6.32490934288
266,0,37109,Fondettes,FONDETTES,JEAN ROUX - FONDETTES,0371397T,COLLÈGE JEAN ROUX,BALZAC - TOURS,037BALZ,31.7073314085,46840.5908624555,31.8160980101
267,0,37195,La Riche,LA RICHE,LAMARTINE - TOURS,0370769K,COLLÈGE LAMARTINE,BALZAC - TOURS,037BALZ,14.1308594856,20858.2746832568,8.1508444008
268,0,37208,Saint-Avertin,SAINT AVERTIN,JULES ROMAIN - SAINT-AVERTIN,0370887N,COLLÈGE JULES ROMAINS,GRANDMONT - TOURS,037GRAN,18.807144347,27763.4841641687,13.209942103
269,0,37261,Tours,TOURS,PIERRE DE RONSARD - TOURS,0370033K,COLLÈGE PIERRE DE RONSARD,VAUCANSON - TOURS,037VAUC,11.7597915347,17376.1746230429,6.66427716445
270,0,37261,Tours,TOURS,LÉONARD DE VINCI - TOURS,0370765F,COLLÈGE LÉONARD DE VINCI,VAUCANSON - TOURS,037VAUC,13.6708707687,20190.0857353008,4.49166186199
271,0,37261,Tours,TOURS,MONTAIGNE - TOURS,0370884K,COLLÈGE MONTAIGNE,CHOISEUL - TOURS,037CHOI,9.82010010616,14513.2938298704,3.69722873912
272,0,37261,Tours,TOURS,JEAN DE LA BRUYÈRE - TOURS,0371158H,COLLÈGE JEAN DE LA BRUYÈRE,CHOISEUL - TOURS,037CHOI,6.81331677707,10067.1858835394,1.57762639633
273,0,37261,Tours,TOURS,LAMARTINE - TOURS,0370769K,COLLÈGE LAMARTINE,BALZAC - TOURS,037BALZ,5.60463107227,8278.86603311835,1.07265646926
