idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AB04516B;MATERNELLE BELLANDA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27791364, 43.7180388]}
06088BA1644194A;MATERNELLE I DIGUE DES FRANCAIS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2019769, 43.67714479]}
06088AS09652E;MATERNELLE ORCHIDEES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.204413, 43.67288443]}
06088AG005024A;MATERNELLE II LOU SOULEU;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26252184, 43.72632142]}
06088AP070460A;MATERNELLE MANTEGA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24875269, 43.71144709]}
06088BA1644194B;MATERNELLE DIGUE DES FRANCAIS LES PTITS LOUPS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20433679, 43.67667122]}
06088AM00889A;MATERNELLE MADONETTE TERRON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22635979, 43.69103493]}
06088AL007713B;MATERNELLE RONCHESE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26846139, 43.70232763]}
06088AP053919B;ELEMENTAIRE JEANNE DE FRANCE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26528667, 43.70053333]}
06088AG04625A;MATERNELLE REGINA COELI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26649397, 43.7099531]}
06088AD012122A;ELEMENTAIRE II ROTHSCHILD;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27349174, 43.70263995]}
06088AC097317A0;ECOLE BLANCHE DE CASTILLE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29706359, 43.71102628]}
06088AG04625A0;ECOLE REGINA COELI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26680038, 43.70978528]}
06088AE04011A;MATERNELLE AIME CESAIRE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29273267, 43.72086698]}
06088AD007723A;ELEMENTAIRE I BAUMETTES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25252888, 43.69524481]}
06088AJ02971A;ELEMENTAIRE I JULES FERRY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28082962, 43.71058349]}
06088AA02646B;ELEMENTAIRE II THERESE ROMEO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2574311, 43.70876627]}
06088AC1793156A;ELEMENTAIRE GENETS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22962502, 43.71466]}
06088AP070434A;ELEMENTAIRE MANTEGA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25199749, 43.70955328]}
06088AD002254A;ELEMENTAIRE I THERESE ROMEO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25802289, 43.7086257]}
06088AS033318B;ELEMENTAIRE SAINT ISIDORE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.19304324, 43.71223777]}
06088AF0033371TERB;ELEMENTAIRE RAYMOND MORETTI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20747166, 43.70566194]}
06088AD007724A;MATERNELLE II BAUMETTES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25246405, 43.69568839]}
06088AL0099229A0;GROUPE SCOLAIRE FABRON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21204701, 43.68699139]}
06088BA1644194A0;GROUPE SCOLAIRE DIGUE DES FRANCAIS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20262151, 43.67734839]}
06088AS033318A0;GROUPE SCOLAIRE SAINT ISIDORE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.19290421, 43.71200847]}
06088AL00446A0;GROUPE SCOLAIRE FUON CAUDA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26480454, 43.7124883]}
