Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;;Association
NICE-EST SAINT ROCH;26/10/2015;09H00;13H00;ORGANISME PUBLIC;COURS;;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;26/10/2015;10H00;13H00;ARTS PLASTIQUES;COURS;;LES GRENOUILLES QUI VOULAIENT VOLER
NICE-EST SAINT ROCH;26/10/2015;15H00;17H00;DANSE ;COURS;;AZUR BALLET
NICE-EST SAINT ROCH;26/10/2015;15H00;18H00;THEATRE;COURS;;POIVRE ET SEL
NICE-EST SAINT ROCH;26/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/10/2015;16H00;19H00;CHANT;COURS;;COL CANTO
NICE-EST SAINT ROCH;26/10/2015;18H00;20H00;ACTIVITE BIEN ETRE;COURS;;LES PONTS DES PIES
NICE-EST SAINT ROCH;26/10/2015;19H00;21H00;ENSEIGNEMENT;COURS;;PRM - PREVENIR REAGIR MAITRISER
NICE-EST SAINT ROCH;26/10/2015;19H00;21H00;THEATRE;COURS;;PLAYS AND SONGS
NICE-EST SAINT ROCH;26/10/2015;20H00;21H00;ACTIVITE BIEN ETRE;COURS;;LES PONTS DES PIES
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
