Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
06923,PARTICULIER,GENSAC,18/02/2013,11:24:00,DECHETS VERTS,"1,00"
07035,PROFESSIONNEL,GENSAC,18/02/2013,11:25:00,DECHETS VERTS,"1,00"
06478,PARTICULIER,GENSAC,18/02/2013,11:55:00,DECHETS VERTS,"1,00"
05421,PARTICULIER,RIMONS,19/02/2013,09:23:00,CARTON,"1,00"
05485,PARTICULIER,RIMONS,19/02/2013,09:51:00,CARTON,"1,00"
05346,PARTICULIER,RIMONS,19/02/2013,10:05:00,CARTON,"1,00"
24878,PARTICULIER,RIMONS,19/02/2013,10:05:00,CARTON,"1,00"
05028,PARTICULIER,RIMONS,19/02/2013,10:13:00,CARTON,"1,00"
07229,PARTICULIER,RIMONS,19/02/2013,10:27:00,CARTON,"1,00"
05089,PARTICULIER,RIMONS,19/02/2013,10:52:00,CARTON,"1,00"
06142,PARTICULIER,RIMONS,19/02/2013,11:10:00,CARTON,"1,00"
05481,PARTICULIER,RIMONS,19/02/2013,11:17:00,CARTON,"1,00"
24698,PARTICULIER,RIMONS,19/02/2013,11:33:00,CARTON,"1,00"
24709,PARTICULIER,RIMONS,19/02/2013,11:34:00,CARTON,"1,00"
25110,PARTICULIER,RIMONS,19/02/2013,14:25:00,CARTON,"1,00"
25583,PARTICULIER,RIMONS,19/02/2013,15:08:00,CARTON,"1,00"
24268,PROFESSIONNEL,RIMONS,19/02/2013,15:17:00,CARTON,"1,00"
05596,PARTICULIER,RIMONS,19/02/2013,16:02:00,CARTON,"1,00"
27522,PARTICULIER,RIMONS,19/02/2013,16:26:00,CARTON,"1,00"
07749,PARTICULIER,RIMONS,19/02/2013,16:41:00,CARTON,"1,00"
29370,PROFESSIONNEL,RIMONS,19/02/2013,16:53:00,CARTON,"1,00"
24681,PARTICULIER,RIMONS,19/02/2013,17:31:00,CARTON,"1,00"
06998,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,09:22:00,TOUT VENANT ENCOMBRANTS,"0,00"
29275,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,09:29:00,CARTON,"0,00"
01315,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,10:20:00,CARTON,"0,00"
01315,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,10:21:00,CARTON,"0,00"
07402,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,10:39:00,FERRAILLE,"0,00"
07333,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,11:47:00,CARTON,"0,00"
01317,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,11:59:00,CARTON,"0,00"
25149,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,14:56:00,CARTON,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,14:57:00,CARTON,"0,00"
00119,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,14:58:00,CARTON,"0,00"
07248,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,15:02:00,CARTON,"0,00"
06167,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:11:00,DECHETS VERTS,"0,00"
28368,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:19:00,DECHETS VERTS,"0,00"
24403,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:38:00,DECHETS VERTS,"0,00"
05549,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:40:00,DECHETS VERTS,"0,00"
06770,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:56:00,DECHETS VERTS,"0,00"
